"slug";"name";"family";"subFamily";"categoryId";"status";"applications";"confidences";"evidence";"possibleExtraApplications";"recordLoaded";"recordUrl"
"arneo";"ArNeo";"ArNeo";"arneo";"hi-vis";"matched";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:98";"hivis: categoryId: hi-vis / EN ISO 20471 certified / Application | Safety Jacket / applicationImageLabels: Yellow-Orange Safety Jacket EN 20471, Yellow Safety Jacket EN 20471";"";"true";"/ariteks/fabrics/arneo/data/fabric-complete-record.json"
"arneo-pro";"ArNeo Pro";"ArNeo";"arneo";"hi-vis";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:98";"hivis: categoryId: hi-vis / EN ISO 20471 certified / Application | Safety Jacket / applicationImageLabels: Yellow/Orange/Red Flame Retardant Safety Jacket EN 20471";"transport";"true";"/ariteks/fabrics/arneo-pro/data/fabric-complete-record.json"
"arneo-flame-static-pro";"ArNeo Flame + Static Pro";"ArNeo";"arneo";"hi-vis";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:98";"hivis: categoryId: hi-vis / EN ISO 20471 certified / Application | Safety Jacket / applicationImageLabels: Flame Retardant Antistatic Safety Jacket EN 20471";"energy | transport";"true";"/ariteks/fabrics/arneo-flame-static-pro/data/fabric-complete-record.json"
"arneo-eco-r400";"ArNeo Eco +R400";"ArNeo";"arneo";"hi-vis";"matched";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:98";"hivis: categoryId: hi-vis / EN ISO 20471 certified / High Visible Fabric Laminated with Reflective Strips for Safety Jacket Fabric / Application | Safety Jacket / applicationImageLabels: Yellow/Orange/Red Safety Jacket EN 20471";"";"true";"/ariteks/fabrics/arneo-eco-r400/data/fabric-complete-record.json"
"arneo-color";"ArNeo Color";"ArNeo";"arneo";"hi-vis";"matched";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:97";"hivis: categoryId: hi-vis / EN ISO 20471 norm / Fabric for Safety Jackets Non Neon Colors / Application | Jacket / applicationImageLabels: Dark Navy Safety Jacket, Yellow-Navy Safety Jacket, Red Navy Safety Jacket";"";"true";"/ariteks/fabrics/arneo-color/data/fabric-complete-record.json"
"arneo-file";"ArNeo File";"ArNeo";"arneo";"hi-vis";"matched";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:98";"hivis: High Visible Mesh Fabric for Safety Jacket / EN ISO 20471 certified / Application | Safety Jacket / categorySourceGroup: High Visible Warp Knit Fabrics for Safety Jackets / Yellow-Navy Mesh Safety Jacket";"";"true";"/ariteks/fabrics/arneo-file/data/fabric-complete-record.json"
"arneo-color-file";"ArNeo Color File";"ArNeo";"arneo";"hi-vis";"matched";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:98";"hivis: categoryId: hi-vis / familyDescriptorEn: Fluorescent hi-vis knits for safety wear / titleDescriptor: Mesh Fabric for Safety Jackets Non Neon Colors / Application | Safety Jacket / applicationImageLabels: Dark Navy Safety Jacket, Yellow-Navy Safety Jacket, Red Navy Safety Jacket";"";"true";"/ariteks/fabrics/arneo-color-file/data/fabric-complete-record.json"
"arneo-dirt-pro";"ArNeo Dirt Pro";"ArNeo";"arneo";"hi-vis";"matched";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:98";"hivis: categoryId: hi-vis / EN ISO 20471 certified / Application | Safety Jacket / applicationImageLabels: Yellow/Red Water and Oil Repellent Safety Jacket EN 20471";"";"true";"/ariteks/fabrics/arneo-dirt-pro/data/fabric-complete-record.json"
"arneo-supereco";"ArNeo Super Eco";"ArNeo";"arneo";"hi-vis";"matched";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:98";"hivis: categoryId: hi-vis / norms: EN ISO 20471 / Application | Safety Jacket / Designed for construction and mining workers. / applicationImageLabels: Economical High Visible Yellow/Orange Safety Jacket";"";"true";"/ariteks/fabrics/arneo-supereco/data/fabric-complete-record.json"
"arneo-supereco-r50";"ArNeo Super Eco +R50";"ArNeo";"arneo";"hi-vis";"matched";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:98";"hivis: categoryId: hi-vis / High Visible Warp Knit Fabrics for Safety Jackets / Designed for construction and mining workers. / Application | Safety Jacket / applicationImageLabels: Economical High Visible Yellow/Orange Safety Jacket";"";"true";"/ariteks/fabrics/arneo-supereco-r50/data/fabric-complete-record.json"
"arneo-light";"ArNeo Light";"ArNeo";"arneo";"hi-vis";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:97";"hivis: categoryId: hi-vis / familyDescriptorEn: Fluorescent hi-vis knits for safety wear / titleDescriptor: Economical Safety Jacket Fabric / applicationImageLabels: Economical High Visible Yellow Safety Jacket / technicalParameters Application: Safety Jacket";"military";"true";"/ariteks/fabrics/arneo-light/data/fabric-complete-record.json"
"arneo-light-r50";"ArNeo Light + R50";"ArNeo";"arneo";"hi-vis";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:97";"hivis: categoryId: hi-vis / Application | Safety Jacket / Designed for construction and mining workwear applications. / Economical High Visible Yellow Safety Jacket / High Visible Knit Fabric";"energy";"true";"/ariteks/fabrics/arneo-light-r50/data/fabric-complete-record.json"
"arneo-light-r400";"ArNeo Light +R400";"ArNeo";"arneo";"hi-vis";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:97";"hivis: categoryId: hi-vis / familyDescriptorEn: Fluorescent hi-vis knits for safety wear / Designed for construction and mining workwear applications. / 5 cm EN 20471 certified reflective strips / Application | Safety Jacket / applicationImageLabels: Economical High Visible Yellow Safety Jacket";"transport";"true";"/ariteks/fabrics/arneo-light-r400/data/fabric-complete-record.json"
"arneo-color-light";"ArNeo Color Light";"ArNeo";"arneo";"hi-vis";"matched";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:97";"hivis: categoryId: hi-vis / familyDescriptorEn: Fluorescent hi-vis knits for safety wear / It used as bias fabric for safety jackets. / applicationImageLabels: Bias for safety jackets";"";"true";"/ariteks/fabrics/arneo-color-light/data/fabric-complete-record.json"
"arshirt-neo";"ArShirt Neo";"ArShirt";"arshirt-arsuprem";"hi-vis";"matched";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:95";"hivis: categorySourceGroup: High Visible Warp Knit Fabrics for Safety Jackets / properties: hi-vis / applicationImageLabels: %100 Cotton Hivis T-Shirt, Fluorescent Yellow/Orange T Shirt";"";"true";"/ariteks/fabrics/arshirt-neo/data/fabric-complete-record.json"
"arshirt";"ArShirt";"ArShirt";"arshirt-arsuprem";"hi-vis";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:90";"hivis: categoryId: hi-vis / categorySourceGroup: 'High Visible Warp Knit Fabrics for Safety Jackets' / properties: ['hi-vis','uv-protection'] / familyDescriptorEn: 'Hi-vis shirting knits'";"military";"true";"/ariteks/fabrics/arshirt/data/fabric-complete-record.json"
"arshirt-moda-pro";"ArShirt Moda Pro";"ArShirt";"arwowear-moda-pro-2";"hi-vis";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:95";"hivis: categoryId: hi-vis / EN ISO 20471 certified / High Visibility | Done | EN ISO 20471";"energy | firefighting | military | welding";"true";"/ariteks/fabrics/arshirt-moda-pro/data/fabric-complete-record.json"
"arsuprem-moda-pro";"ArSuprem Moda Pro";"ArSuprem";"arwowear-moda-pro-2";"hi-vis";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis] | Hutnictwo i spawalnictwo [welding]";"hivis:95 | welding:90";"hivis: categoryId: hi-vis / EN ISO 20471 certified / High Visibility | Done | EN ISO 20471 || welding: ArSuprem Moda Pro fabric are mostly used by welders, electrical workers and firefighters. / EN 61482 arc flash protection class 1 (4 kA) / Arc Protection | Class 1 (4kA) | EN ISO 61482-1-2";"energy | firefighting";"true";"/ariteks/fabrics/arsuprem-moda-pro/data/fabric-complete-record.json"
"arbir";"ArBir";"ArBir";"arbir";"woven-like-knits";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:97";"hivis: EN ISO 20471 certified / Application Images: 'Orange Safety Jacket EN 20471', 'Yellow Safety Jacket EN 20471' / specLine: High Visible, Woven Like Knit Fabric / titleDescriptor: Knit Fabric for Safety Clothes";"energy | welding";"true";"/ariteks/fabrics/arbir/data/fabric-complete-record.json"
"arbir-su-itici";"ArBir Su İtici";"ArBir";"arbir";"woven-like-knits";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:95";"hivis: EN ISO 20471 certified / Application image labels: Orange Safety Jacket EN 20471, Yellow Safety Jacket EN 20471 / properties: hi-vis / High Visibility | Done | EN ISO 20471";"military | transport";"true";"/ariteks/fabrics/arbir-su-itici/data/fabric-complete-record.json"
"arbir-su-itici-su-gecirmez";"ArBir Su İtici/Su Geçirmez";"ArBir";"arbir";"woven-like-knits";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:93";"hivis: EN ISO 20471 certified / Property: hi-vis / applicationImageLabels: Orange Safety Jacket EN 20471 / High Visibility | Done | EN ISO 20471";"energy | transport";"true";"/ariteks/fabrics/arbir-su-itici-su-gecirmez/data/fabric-complete-record.json"
"arbir-200";"ArBir 200";"ArBir";"arbir";"woven-like-knits";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:97";"hivis: EN ISO 20471 certified. / High Visibility | Done | EN ISO 20471 / specLine: High Visible, Woven Like Knit Fabric / Neon dyed fabrics they attract more attention...they shine more than other objects";"transport | welding";"true";"/ariteks/fabrics/arbir-200/data/fabric-complete-record.json"
"arwowear-t2-static-pro";"ArWoWear T2 Static Pro";"ArWoWear";"arwowear-static-pro";"antistatic";"matched-with-review";"Energetyka [energy]";"energy:90";"energy: Oil and gas industry platform workers can also use it to prevent static electric related explosions on dangerous area. / Certified for EN 1149-5 (EN 1149-3)";"welding";"true";"/ariteks/fabrics/arwowear-t2-static-pro/data/fabric-complete-record.json"
"arwowear-t4-static-pro";"ArWoWear T4 Static Pro";"ArWoWear";"arwowear-static-pro";"antistatic";"matched-with-review";"Energetyka [energy]";"energy:90";"energy: It is suitable to use on electronic industry where static electric formation is a problem. Oil and gas industry platform workers can also use it to prevent static electric related explosions on dangerous area. / Certified for EN 1149-5 (EN 1149-3)";"welding";"true";"/ariteks/fabrics/arwowear-t4-static-pro/data/fabric-complete-record.json"
"arwowear-t11-static-pro";"ArWoWear T11 Static Pro";"ArWoWear";"arwowear-static-pro";"antistatic";"matched-with-review";"Energetyka [energy]";"energy:90";"energy: It is suitable to use on electronic industry where static electric formation is a problem. Oil and gas industry platform workers can also use it to prevent static electric related explosions on dangerous area. / Antistatic | Yes | EN 1149-5";"welding";"true";"/ariteks/fabrics/arwowear-t11-static-pro/data/fabric-complete-record.json"
"arwowear-t20-static-pro";"ArWoWear T20 Static Pro Pro";"ArWoWear";"arwowear-static-pro";"antistatic";"matched-with-review";"Energetyka [energy]";"energy:92";"energy: Oil and gas industry platform workers can also use it to prevent static electric related explosions on dangerous area. / EN 1149-5 antistatic certification";"welding";"true";"/ariteks/fabrics/arwowear-t20-static-pro/data/fabric-complete-record.json"
"arwowear-t21-static-pro";"ArWoWear T21 Static Pro Pro";"ArWoWear";"arwowear-static-pro";"antistatic";"matched-with-review";"Energetyka [energy]";"energy:90";"energy: Suitable to use on electronic industry where static electric formation is a problem. / Oil and gas industry platform workers can also use it to prevent static electric related explosions on dangerous area. / EN 1149-5 antistatic certification";"military | welding";"true";"/ariteks/fabrics/arwowear-t21-static-pro/data/fabric-complete-record.json"
"arwowear-t2-flame-pro";"ArWoWear T2 Flame Pro";"ArWoWear";"arwowear-flame-pro";"fr-workwear";"matched-with-review";"Hutnictwo i spawalnictwo [welding]";"welding:95";"welding: norms include EN ISO 11611 / Welding Protection | Yes | EN ISO 11611 / properties include molten-metal";"energy | firefighting | military";"true";"/ariteks/fabrics/arwowear-t2-flame-pro/data/fabric-complete-record.json"
"arwowear-t11-flame-pro";"ArWoWear T11 Flame Pro";"ArWoWear";"arwowear-flame-pro";"fr-workwear";"matched-with-review";"Hutnictwo i spawalnictwo [welding]";"welding:92";"welding: Welding Protection | Yes | EN ISO 11611 / EN ISO 11611 certification / molten-metal property listed";"energy | firefighting | military";"true";"/ariteks/fabrics/arwowear-t11-flame-pro/data/fabric-complete-record.json"
"arwowear-t12-flame-pro";"ArWoWear T12 Flame Pro";"ArWoWear";"arwowear-flame-pro";"fr-workwear";"matched-with-review";"Hutnictwo i spawalnictwo [welding]";"welding:97";"welding: Welding Protection | Yes | EN ISO 11611 / norms include EN ISO 11611 / Suitable for shipyard welders in cold climates. / molten-metal property listed / Application | Flame Retardant Coveralls";"energy | firefighting | transport";"true";"/ariteks/fabrics/arwowear-t12-flame-pro/data/fabric-complete-record.json"
"arwowear-t13-flame-pro";"ArWoWear T13 Flame Pro";"ArWoWear";"arwowear-flame-pro";"fr-workwear";"matched-with-review";"Hutnictwo i spawalnictwo [welding]";"welding:95";"welding: EN ISO 11611 certification (Welding Protection: Yes) / molten-metal property / Suitable for shipyard welders in cold climates / Application | Flame Retardant Coveralls";"energy | transport";"true";"/ariteks/fabrics/arwowear-t13-flame-pro/data/fabric-complete-record.json"
"arwowear-t20-flame-pro";"ArWoWear T20 Flame Pro";"ArWoWear";"arwowear-flame-pro";"fr-workwear";"matched-with-review";"Hutnictwo i spawalnictwo [welding]";"welding:95";"welding: Welding Protection | Yes | EN ISO 11611 / norms include EN ISO 11611 / properties include molten-metal";"energy | firefighting";"true";"/ariteks/fabrics/arwowear-t20-flame-pro/data/fabric-complete-record.json"
"arwowear-t21-flame-pro";"ArWoWear T21 Flame Pro";"ArWoWear";"arwowear-flame-pro";"fr-workwear";"matched-with-review";"Hutnictwo i spawalnictwo [welding]";"welding:92";"welding: Welding Protection | Yes | EN ISO 11611 / norms: EN ISO 11611 / properties: molten-metal / Application | Flame Retardant Coveralls";"energy | firefighting | military";"true";"/ariteks/fabrics/arwowear-t21-flame-pro/data/fabric-complete-record.json"
"arwowear-t30-flame-pro";"ArWoWear T30 Flame Pro";"ArWoWear";"arwowear-flame-pro";"fr-workwear";"matched-with-review";"Hutnictwo i spawalnictwo [welding]";"welding:95";"welding: Welding Protection | Yes | EN ISO 11611 / norms include EN ISO 11611 / properties include molten-metal";"energy | firefighting";"true";"/ariteks/fabrics/arwowear-t30-flame-pro/data/fabric-complete-record.json"
"arwowear-t31-flame-pro";"ArWoWear T31 Flame Pro";"ArWoWear";"arwowear-flame-arc-pro";"fr-workwear";"matched-with-review";"Hutnictwo i spawalnictwo [welding]";"welding:95";"welding: Welding Protection | Yes | EN ISO 11611 / norms include EN ISO 11611 / properties: molten-metal / Application | Flame Retardant Coveralls";"energy | firefighting | military";"true";"/ariteks/fabrics/arwowear-t31-flame-pro/data/fabric-complete-record.json"
"arwowear-t2-flame-arc-pro";"ArWoWear T2 Flame Arc Pro";"ArWoWear";"arwowear-flame-arc-pro";"fr-antistatic";"matched-with-review";"Hutnictwo i spawalnictwo [welding]";"welding:92";"welding: Welding Protection | Yes | EN ISO 11611 / Norms: EN ISO 11611 / descriptions: 'flame retardant function with EN ISO 11612 and EN ISO 11611 certification'";"energy | firefighting";"true";"/ariteks/fabrics/arwowear-t2-flame-arc-pro/data/fabric-complete-record.json"
"arwowear-t11-flame-arc-pro";"ArWoWear T11 Flame Arc Pro";"ArWoWear";"arwowear-flame-arc-pro";"fr-antistatic";"matched-with-review";"Hutnictwo i spawalnictwo [welding] | Energetyka [energy]";"welding:95 | energy:92";"welding: Welding Protection | Yes | EN ISO 11611 / EN ISO 11611 certification / EN 61482 molten-metal/arc protection || energy: Protection against thermal hazards of electrical arc. (EN 61482-1-2) / Arc Protection | Class 1 (4kA) | EN ISO 61482-1-2 / ATPV > 15 cal/cm²";"firefighting | military";"true";"/ariteks/fabrics/arwowear-t11-flame-arc-pro/data/fabric-complete-record.json"
"arwowear-t20-flame-arc-pro";"ArWoWear T20 Flame Arc Pro";"ArWoWear";"arwowear-flame-arc-pro";"fr-antistatic";"matched-with-review";"Hutnictwo i spawalnictwo [welding]";"welding:95";"welding: Welding Protection | Yes | EN ISO 11611 / norms include EN ISO 11611 / Application | Flame Retardant Shirt";"energy | firefighting | military";"true";"/ariteks/fabrics/arwowear-t20-flame-arc-pro/data/fabric-complete-record.json"
"arwowear-t21-flame-arc-pro";"ArWoWear T21 Flame Arc Pro";"ArWoWear";"arwowear-flame-arc-pro";"fr-antistatic";"matched-with-review";"Hutnictwo i spawalnictwo [welding]";"welding:92";"welding: Welding Protection | Yes | EN ISO 11611 / molten-metal property / EN ISO 11611 certification";"energy | firefighting | military";"true";"/ariteks/fabrics/arwowear-t21-flame-arc-pro/data/fabric-complete-record.json"
"arwowear-t30-flame-arc-pro";"ArWoWear T30 Flame Arc Pro";"ArWoWear";"arwowear-flame-arc-pro";"fr-antistatic";"matched-with-review";"Hutnictwo i spawalnictwo [welding] | Energetyka [energy]";"welding:95 | energy:92";"welding: EN ISO 11611 certification / Welding Protection | Yes | EN ISO 11611 / molten-metal property || energy: EN 61482 arc protection / Arc Protection | Class 1 (4kA) / Protection against thermal hazards of electrical arc";"firefighting | military";"true";"/ariteks/fabrics/arwowear-t30-flame-arc-pro/data/fabric-complete-record.json"
"arwowear-t31-flame-arc-pro";"ArWoWear T31 Flame Arc Pro";"ArWoWear";"arwowear-flame-arc-pro";"fr-antistatic";"matched-with-review";"Hutnictwo i spawalnictwo [welding]";"welding:95";"welding: Welding Protection | Yes | EN ISO 11611 / EN ISO 11611 certification / norms: EN ISO 11611 / descriptions: It has flame retardant function with EN ISO 11612 and EN ISO 11611 certification.";"energy | firefighting | military";"true";"/ariteks/fabrics/arwowear-t31-flame-arc-pro/data/fabric-complete-record.json"
"aramid-d1-210";"Aramid D1 210";"Aramid";"aramid";"aramid";"matched-with-review";"Hutnictwo i spawalnictwo [welding]";"welding:92";"welding: Welding Protection | Yes | EN ISO 11611 / EN ISO 11611 certification / norms include EN ISO 11611";"energy | firefighting | military";"true";"/ariteks/fabrics/aramid-d1-210/data/fabric-complete-record.json"
"aramid-d2-260";"Aramid D2 260";"Aramid";"aramid";"aramid";"matched-with-review";"Straż pożarna [firefighting] | Hutnictwo i spawalnictwo [welding]";"firefighting:95 | welding:90";"firefighting: for wildland firefighters, oil and gas industry workers. / Forest Firefighters | Yes | EN ISO 15614 / Application | Firefighters Costumes / Inherent flame retardant fabric with EN ISO 11612 and EN ISO 11611 certification. || welding: Welding Protection | Yes | EN ISO 11611 / EN ISO 11611 certification";"energy | military";"true";"/ariteks/fabrics/aramid-d2-260/data/fabric-complete-record.json"
"aramid-d3-200";"Aramid D3 200";"Aramid";"aramid";"aramid";"matched-with-review";"Straż pożarna [firefighting]";"firefighting:95";"firefighting: technicalParameters: 'Application | Firefighters Costumes' / norms include EN 469 / applicationImageLabels: 'Aramid Firefighter Turnout Gear' / technicalParameters: 'Firefighters | Yes | EN ISO 469'";"energy | military | welding";"true";"/ariteks/fabrics/aramid-d3-200/data/fabric-complete-record.json"
"arwowear-260-moda-pro";"ArWoWear 260 Moda Pro";"ArWoWear";"arwowear-moda-pro";"modacrylic";"matched-with-review";"Hutnictwo i spawalnictwo [welding] | Odzież ostrzegawcza hi-vis [hivis]";"welding:97 | hivis:90";"welding: Mostly used by welders, electrical workers and firefighters / EN ISO 11611 certification / Welding Protection | Yes | EN ISO 11611 / Molten-metal property listed || hivis: High Visibility | Done | EN ISO 20471 / hi-vis property listed / EN ISO 20471 norm listed";"energy | firefighting | military | transport";"true";"/ariteks/fabrics/arwowear-260-moda-pro/data/fabric-complete-record.json"
"arwowear-330-moda-pro";"ArWoWear 330 Moda Pro";"ArWoWear";"arwowear-moda-pro";"modacrylic";"matched-with-review";"Hutnictwo i spawalnictwo [welding] | Odzież ostrzegawcza hi-vis [hivis]";"welding:95 | hivis:90";"welding: mostly used by welders, electrical workers and firefighters / EN ISO 11611 Welding Protection | Yes / Application | Flame Retardant Coveralls / molten-metal property || hivis: High Visibility | Done | EN ISO 20471 / applicationImageLabels: Flame Retardant High Visible Jacket and Trouser Modacrylic / properties: hi-vis";"energy | firefighting";"true";"/ariteks/fabrics/arwowear-330-moda-pro/data/fabric-complete-record.json"
"arox-t2-wr";"Arox T2 WR";"Arox";"arox";"polyester-outerwear";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:97";"hivis: Certified for EN ISO 20471. / Application | Hi Vis Jackets / applicationImageLabels: Safety Jacket EN 20471 / functionIconLabels: EN 20471 (High Visible Orange) Test Report";"energy | welding";"true";"/ariteks/fabrics/arox-t2-wr/data/fabric-complete-record.json"
"arox-t4-wr-wp";"Arox T4 WR/WP";"Arox";"arox";"polyester-outerwear";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:95";"hivis: properties: hi-vis / norms: EN ISO 20471 / applicationImageLabels: Safety Jacket EN 20471 / Application | Hi Vis Raincoats";"energy | welding";"true";"/ariteks/fabrics/arox-t4-wr-wp/data/fabric-complete-record.json"
"arox-t5-multi";"Arox T5 Multi";"Arox";"arox";"polyester-outerwear";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:95";"hivis: properties: hi-vis / norms: EN ISO 20471 / applicationImageLabels: 'FR, waterproof, Safety Jacket EN 20471' / Application | Hi Vis Raincoats";"energy | firefighting | welding";"true";"/ariteks/fabrics/arox-t5-multi/data/fabric-complete-record.json"
"argiyim-245";"ArGiyim 245";"ArGiyim";"argiyim";"polycotton";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:95";"hivis: Property: hi-vis / Norms: EN ISO 20471 / descriptions: 'Certified for EN ISO 20471 and for EN 13034' / titleDescriptor: High Visible Water Repellent Twill Fabric";"energy | military | welding";"true";"/ariteks/fabrics/argiyim-245/data/fabric-complete-record.json"
"argiyim-290";"ArGiyim 290";"ArGiyim";"argiyim";"polycotton";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:97";"hivis: EN ISO 20471 / High Visibility | Done | EN ISO 20471 / 80% Polyester 20% Cotton PolyCotton High Visible Water Repellent Satin Fabric / used for heavy outdoor jackets, safety jackets, pans and trousers";"military | welding";"true";"/ariteks/fabrics/argiyim-290/data/fabric-complete-record.json"
"argiyim-245-static-pro";"ArGiyim 245 Static Pro";"ArGiyim";"argiyim";"polycotton";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:93";"hivis: norms includes EN ISO 20471 / functionIconLabels: EN 20471 / technicalParameters: High Visibility | Done | EN ISO 20471 / technicalParameters: Application | Hi Vis Antistatic Pans / applicationImageLabels: Polycotton antistatic jacket, Polycotton antistatic suit";"energy | medical";"true";"/ariteks/fabrics/argiyim-245-static-pro/data/fabric-complete-record.json"
"argiyim-bird-eye";"ArGiyim Bird Eye";"ArGiyim";"argiyim";"polycotton";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:97";"hivis: Property: hi-vis / Norm: EN ISO 20471 / Certified for EN ISO 20471 / titleDescriptor: PolyCotton High Visible Bird Eye Knit Fabric / technicalParameters: Application | Hi Vis T-Shirts / functionIconLabels: EN 20471";"energy | sport";"true";"/ariteks/fabrics/argiyim-bird-eye/data/fabric-complete-record.json"
"argiyim-sultan";"ArGiyim Sultan";"ArGiyim";"argiyim-knit";"polycotton";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:95";"hivis: Certified for EN ISO 20471 / High Visibility | Done | EN ISO 20471 / titleDescriptor: High Visible... Satin Fabric / Application | Hi Vis Pans";"energy | firefighting | welding";"true";"/ariteks/fabrics/argiyim-sultan/data/fabric-complete-record.json"
"argiyim-ic";"ArGiyim Ic";"ArGiyim";"argiyim-knit";"polycotton-needle-drop";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:97";"hivis: titleDescriptor: '50% Polyester 50% Cotton PolyCotton High Visible Needle Drop Knit Fabric' / norms includes 'EN ISO 20471' / technicalParameters: 'High Visibility | Done | EN ISO 20471' / technicalParameters: 'Application | Hi Vis T-Shirts' / applicationImageLabels: 'Double face needle drop interlock high visible orange t-shirt'";"energy | firefighting | welding";"true";"/ariteks/fabrics/argiyim-ic/data/fabric-complete-record.json"
"arsuprem-aramid-vis";"ArSuprem Aramid Vis";"ArSuprem";"aramid-vis-knit";"aramid-viscose-knits";"matched-with-review";"Straż pożarna [firefighting]";"firefighting:90";"firefighting: ArSuprem Aramid Vis fabric are mostly used by electrical workers and firefighters. / Inherent flame retardant with EN 11612 certification";"energy";"true";"/ariteks/fabrics/arsuprem-aramid-vis/data/fabric-complete-record.json"
"arshirt-aramid-vis";"ArShirt Aramid Vis";"ArShirt";"aramid-vis-knit";"aramid-viscose-knits";"matched-with-review";"Energetyka [energy]";"energy:92";"energy: ArShirt Aramid Vis fabric are mostly used by electrical workers and firefighters. / It provides arc flash protection with EN 61482 class 1 (4 kA) certification. / Antistatic | Done | EN ISO 1149-5";"firefighting";"true";"/ariteks/fabrics/arshirt-aramid-vis/data/fabric-complete-record.json"
"ar3iplik-aramid-vis";"Ar3 İplik Aramid Vis";"Ar3";"aramid-vis-knit";"aramid-viscose-knits";"matched-with-review";"Straż pożarna [firefighting]";"firefighting:90";"firefighting: Ar3İplik Aramid Vis fabric are mostly used by electrical workers and firefighters.";"energy | welding";"true";"/ariteks/fabrics/ar3iplik-aramid-vis/data/fabric-complete-record.json"
