"slug";"name";"family";"subFamily";"categoryId";"status";"applications";"confidences";"evidence";"possibleExtraApplications";"recordLoaded";"recordUrl"
"aramid-d1-210-denim";"Aramid D1 210 Denim";"Aramid";"aramid-2";"aramid-denim";"matched-with-review";"Energetyka [energy]";"energy:95";"energy: for electricity distribution companies and oil and gas industry workers. / Application | Electricity distribution / Protection against thermal hazards of electrical arc. (EN 61482-1-2) / Arc Protection | Class 1 (4kA) | EN ISO 61482-1-2";"military | welding";"true";"/ariteks/fabrics/aramid-d1-210-denim/data/fabric-complete-record.json"
"aramid-d2-260-el";"Aramid D2 260 El";"Aramid";"aramid-knit";"aramid-denim";"matched-with-review";"Wojsko i służby mundurowe [military] | Straż pożarna [firefighting]";"military:95 | firefighting:90";"military: for military application and firefighters with ultra comfort. / Application | Military Applications || firefighting: for military application and firefighters with ultra comfort. / applicationImageLabels: Cordura(R) Reinforced Aramid Firefighter Turnout Gear";"energy | welding";"true";"/ariteks/fabrics/aramid-d2-260-el/data/fabric-complete-record.json"
"ar3iplik-moda-pro";"Ar3İplik Moda Pro";"Ar3Iplik";"arwowear-moda-pro-2";"fr-stretch-fleece";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:90";"hivis: properties: hi-vis / norms: EN ISO 20471 / technicalParameters: High Visibility | Done | EN ISO 20471 / functionIconLabels: EN 20471";"energy | medical | welding";"true";"/ariteks/fabrics/ar3iplik-moda-pro/data/fabric-complete-record.json"
"ard3e3";"ArD3E3";"ArD3E3";"ard3e3";"molten-metal";"matched-with-review";"Hutnictwo i spawalnictwo [welding]";"welding:97";"welding: categoryId: molten-metal / EN ISO 11611 (Welding Protection: Yes) / EN ISO 11612 D3 E3 / Application | Hot metal protective clothing / Resistant to hot metal splash around 1500'C degrees / used to make jacket and trousers for hot metal, steel and aluminum industries";"energy | hivis | medical | military";"true";"/ariteks/fabrics/ard3e3/data/fabric-complete-record.json"
"arbo";"ArBo";"ArBo";"arbo";"pbo";"matched-with-review";"Straż pożarna [firefighting]";"firefighting:99";"firefighting: ArBo is designed for firefighters's suit. / Flame resistant (Flame retardant) fabric with EN 469 certification. / Application | Firefighters Suits / applicationImageLabels: 'Pbo 4 layer firefighter suit', '50% para aramid 50% pbo turnout gear' / familyDescriptorEn: Firefighter fabrics";"energy";"true";"/ariteks/fabrics/arbo/data/fabric-complete-record.json"
"arbo-dark";"ArBo Dark";"ArBo";"arbo";"pbo";"matched-with-review";"Straż pożarna [firefighting] | Wojsko i służby mundurowe [military]";"firefighting:97 | military:95";"firefighting: familyDescriptorEn: Firefighter fabrics / EN 469 certification / applicationImageLabels: 'Pbo 4 layer firefighter suit' / technicalParameters: 'Firefighters | Yes | EN ISO 469' || military: descriptions: 'ArBo Dark is designed for military application.' / descriptions: 'ArBo Dark is the best fabric in all categories for military applications.' / technicalParameters: 'Application | Military Applications'";"energy";"true";"/ariteks/fabrics/arbo-dark/data/fabric-complete-record.json"
"aramid-d5-180-rb";"Aramid D5 180 Rb";"Aramid";"aramid";"pbo";"matched-with-review";"Straż pożarna [firefighting]";"firefighting:97";"firefighting: for woodland firefighters. Aramid D5 180 Rb is designed for woodland, wild forest fire condtions with high p-aramid and pbo content. / applicationImageLabels: Woodland Firefighter Suits / Application | Forest Firefigters's Jacket / Forest Firefighters | Yes | EN ISO 15614 / norms include EN 469";"energy | welding";"true";"/ariteks/fabrics/aramid-d5-180-rb/data/fabric-complete-record.json"
"arbo-knit";"ArBo Knit";"ArBo";"arbo";"pbo";"matched-with-review";"Straż pożarna [firefighting]";"firefighting:98";"firefighting: ArBo Knit is designed for firefighters's inner t-shirt. / for firefighters t-shirts. / Application | Firefighters T-Shirt / Application image label: Pbo Knit firefighter t-shirt / familyDescriptorEn: Firefighter fabrics / EN ISO 11612 certification";"energy | military";"true";"/ariteks/fabrics/arbo-knit/data/fabric-complete-record.json"
"arwowear-t4-emk";"ArWoWear T4 EMK";"ArWoWear";"aremk";"emi";"matched-with-review";"Energetyka [energy]";"energy:90";"energy: Categorized under 'Fabrics for Emi shielding, anti-radar, antistress, high voltage protection.' / ""Another application is conductive clothing for live line workers..."" / ""Arox T4 Antibac is certfied as IEC 60895 for line workers clothing."" / Technical parameter: 'Application | Faraday Cage Suits', 'Line Workers | Done | IEC 60895'";"architecture-building | medical | military";"true";"/ariteks/fabrics/arwowear-t4-emk/data/fabric-complete-record.json"
"arshirt-emk";"ArShirt EMK";"ArShirt";"aremk";"emi";"matched-with-review";"Energetyka [energy]";"energy:90";"energy: Conductive clothing for live line workers, anti-radar applications for military cages, ani-stress, and pain reducer bandages. / ArShirt EMK is certfied as 60895 for line workers clothing. / categorySourceGroup: Fabrics for Emi shielding, anti-radar, antistress, high voltage protection. / norms: IEC 60895";"architecture-building | medical | military";"true";"/ariteks/fabrics/arshirt-emk/data/fabric-complete-record.json"
"armedi";"ArMedi";"ArMedi";"armedi";"medical";"matched";"Medycyna [medical]";"medical:98";"medical: categoryId: medical / familyDescriptorEn: Elastic medical fabrics / descriptions: 'ArMedi is 75% polyester 25% Viscose medical wear fabric... for hospital and school workers... most popular fabric for light uniforms usage.' / Application | Medical Uniforms / applicationImageLabels: Medical Uniform";"";"true";"/ariteks/fabrics/armedi/data/fabric-complete-record.json"
"arox-t2-wr-antibac";"Arox T2 WR/Antibac";"Arox";"armedi-antibac";"antibacterial";"matched";"Medycyna [medical]";"medical:97";"medical: Application | Medical Uniforms / Arox T2 WR/Antibac fabrics are mostly used for medical applications with superior antibacterial functions. / Cleanroom Suits | Done | EN 13795 / norms include EN 14683, EN 13795";"";"true";"/ariteks/fabrics/arox-t2-wr-antibac/data/fabric-complete-record.json"
"arwowear-t4-antibac";"ArWoWear T4 Antibac";"ArWoWear";"armedi-antibac";"antibacterial";"matched";"Medycyna [medical]";"medical:97";"medical: Application | Medical Mattress / Clean Air Suits | Done | EN 13795 / Antiviral Antibacterial Medical Scrubs Pans White, ISO 18184 / Arwowear T4 Antibac fabrics are mostly used for medical applications with superior antibacterial functions. / medical wear twill fabric";"";"true";"/ariteks/fabrics/arwowear-t4-antibac/data/fabric-complete-record.json"
"arox-t0-wr-wp";"Arox T0 WR/WP";"Arox";"arox-medical";"antibacterial";"matched";"Medycyna [medical]";"medical:97";"medical: Barrier medical fabrics family descriptor / Application | Medical Cover / Application image labels: Tulum, Isolation Gown / Can be used for medical cover / Antibacterial silver fabric category";"";"true";"/ariteks/fabrics/arox-t0-wr-wp/data/fabric-complete-record.json"
"arox-t1-wr-wp";"Arox T1 WR/WP";"Arox";"arox-medical";"antibacterial";"matched";"Medycyna [medical]";"medical:97";"medical: familyDescriptorEn: Barrier medical fabrics / descriptions: 'Arox T1 WR/WP fabrics can be used for medical suits.' / applicationImageLabels: 'Isolation Gown', 'Surgical Gown' / technicalParameters: Application | Medical Cover";"";"true";"/ariteks/fabrics/arox-t1-wr-wp/data/fabric-complete-record.json"
"arpower-knit-p";"ArPower Knit P";"ArPower";"arpower-knit";"medical-elastic";"matched";"Medycyna [medical]";"medical:97";"medical: categoryId: medical-elastic / categorySourceGroup: Ultra elastic medical fabrics for orthopedical,corset and face mask applications. / for corset applications / can be used during orthopedical treatments / 2 layer of this fabric can be easily used to produce certified EN 14683 face masks / Application | Medical Corset";"";"true";"/ariteks/fabrics/arpower-knit-p/data/fabric-complete-record.json"
"arpower-knit";"ArPower Knit";"ArPower";"arpower-knit";"medical-elastic";"matched";"Medycyna [medical]";"medical:97";"medical: categorySourceGroup: Ultra elastic medical fabrics for orthopedical, corset and face mask applications. / for corset applications... can be used during orthopedical treatments / 2 layer of this fabric can be easily used to produce certified EN 14683 face masks / Application | Medical Corset / norms: EN 14683 / Bacterial Filtration | Type IIR | EN 14683";"";"true";"/ariteks/fabrics/arpower-knit/data/fabric-complete-record.json"
"arwowear-t0-soft";"ArWoWear T0 Soft";"ArWoWear";"arwowear-t0-soft";"scrubs";"matched";"Medycyna [medical]";"medical:95";"medical: categoryId: scrubs / categoryNamePl: Odzież medyczna (scrubs) / categorySourceGroup: Scrub and shirt fabrics for medical wear. / description: 'the most used fabric for medical wear'";"";"true";"/ariteks/fabrics/arwowear-t0-soft/data/fabric-complete-record.json"
"arshirt-antiviral";"ArShirt Antiviral";"ArShirt";"armedi-antiviral";"antiviral";"matched-with-review";"Medycyna [medical]";"medical:95";"medical: ArShirt Antiviral fabrics are mostly used for medical applications with superior antiviral functions. / Application | Antiviral T-Shirts / Antiviral | Yes | ISO 18184";"sport";"true";"/ariteks/fabrics/arshirt-antiviral/data/fabric-complete-record.json"
"arof";"Arof";"Arof";"arof";"tracksuit-mesh";"matched-with-review";"Sport [sport]";"sport:90";"sport: It is mostly used as sport suits for runners and soldiers. / Track Suit Fabric / applicationImageLabels: Track Suit";"military";"true";"/ariteks/fabrics/arof/data/fabric-complete-record.json"
"arsport";"ArSport";"ArSport";"arsport";"t-shirt-interlock";"matched";"Sport [sport]";"sport:90";"sport: ArSport is 100% Polyester interlock knit fabric for team uniforms. / Application | Team Uniform / familyDescriptorEn: Sports knits";"";"true";"/ariteks/fabrics/arsport/data/fabric-complete-record.json"
"arsport-x";"ArSport X";"ArSport";"arsport";"t-shirt-interlock";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:95";"hivis: Property: hi-vis / Norms: EN ISO 20471 / descriptions: 'It has also high visibility option. (EN 20471 certified)' / technicalParameters: High Visibility | Done | EN ISO 20471";"sport";"true";"/ariteks/fabrics/arsport-x/data/fabric-complete-record.json"
"armoto";"ArMoto";"ArMoto";"armoto";"heavy-warp-knits";"matched-with-review";"Odzież motocyklowa [motorcycle] | Odzież ostrzegawcza hi-vis [hivis]";"motorcycle:92 | hivis:90";"motorcycle: familyDescriptorEn: Motorcycle apparel fabrics / ArMoto can be used on motorcyclist cloths as air channel. / Application | Wind Jacket, Shoes || hivis: properties: hi-vis / norms: EN ISO 20471";"sport";"true";"/ariteks/fabrics/armoto/data/fabric-complete-record.json"
"armoto-dura";"ArMoto Dura";"ArMoto";"armoto";"heavy-warp-knits";"matched-with-review";"Wojsko i służby mundurowe [military]";"military:95";"military: For the military shoes industry it is popular fabric to laminate on base and edge of shoes. / 100% polyamide 6.6 warp knit fabric for heavy duty and military shoes. / Application | Military Shoes";"motorcycle";"true";"/ariteks/fabrics/armoto-dura/data/fabric-complete-record.json"
"arhard-mesh";"ArHard Mesh";"ArHard";"arhard-mesh";"heavy-mesh";"matched";"Wojsko i służby mundurowe [military]";"military:97";"military: Title: 'Mesh Fabric for Military Tactical Vest' / Description: 'The main application is for tactical vest.' / technicalParameters: 'Application | Military Tactical Vest' / applicationImageLabels: ['Tactical Vest 1','Tactical Vest 2','Tactical Vest 3']";"";"true";"/ariteks/fabrics/arhard-mesh/data/fabric-complete-record.json"
"arsport-dry";"ArSport Dry";"ArSport";"arsport2";"functional-interlock";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:92";"hivis: properties: [""hi-vis""] / norms: [""EN ISO 20471""] / technicalParameters: ""High Visible | Yes | EN 20471""";"medical | military | sport";"true";"/ariteks/fabrics/arsport-dry/data/fabric-complete-record.json"
"arsport-el";"ArSport El";"ArSport";"arsport2";"functional-interlock";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:95";"hivis: properties: hi-vis / norms: EN ISO 20471 / Certified for EN 20471. / technicalParameters: High Visible | Yes | EN 20471";"sport";"true";"/ariteks/fabrics/arsport-el/data/fabric-complete-record.json"
"arsport-wp-flame-pro";"ArSport Wp/Flame Pro";"ArSport";"arsport2";"functional-interlock";"matched";"Straż pożarna [firefighting]";"firefighting:97";"firefighting: is humidity barrier fabric for firefighters suits. / It is flame retardant thus can be used on the inner layer of the firefighters cloth. / EN ISO 14116 / EN 343";"";"true";"/ariteks/fabrics/arsport-wp-flame-pro/data/fabric-complete-record.json"
"argiyim-l";"ArGiyim L";"ArGiyim";"argiyim-2";"ripstop-outdoor";"matched-with-review";"Medycyna [medical]";"medical:92";"medical: ArGiyim L is the most requested fabric for elastic medical wear scrubs and pants.";"sport";"true";"/ariteks/fabrics/argiyim-l/data/fabric-complete-record.json"
"ardura-500";"ArDura 500";"ArDura";"ardura";"pa66-abrasion";"matched-with-review";"Wojsko i służby mundurowe [military]";"military:97";"military: titleDescriptor: 'Pa6.6 woven fabric for Military wear and bag' / description: 'ArDura 500 is lightweight 100% polyamide 6.6 woven fabric for military wear and equippments.' / technicalParameters: 'Application | Miltary Equippments' / applicationImageLabels: 'Pa6.6 fabric for military shoes'";"motorcycle";"true";"/ariteks/fabrics/ardura-500/data/fabric-complete-record.json"
"ardura-1000";"ArDura 1000";"ArDura";"ardura-2";"pa66-abrasion";"matched-with-review";"Wojsko i służby mundurowe [military]";"military:97";"military: ArDura 1000 is 100% polyamide 6.6 woven fabric for military equipments. / Pa6.6 woven fabric for military bag / Application | Miltary Equippments / categorySourceGroup: Woven PA.6.6 fabrics for military applications";"motorcycle";"true";"/ariteks/fabrics/ardura-1000/data/fabric-complete-record.json"
"ardura-500-c";"ArDura 500 C";"ArDura";"ardura-2";"uniform-pa66";"matched-with-review";"Wojsko i służby mundurowe [military] | Odzież motocyklowa [motorcycle]";"military:95 | motorcycle:92";"military: Descriptions: 'ArDura 500 C is lightweight 100% polyamide 6.6 woven fabric for military, police and gendarme wear.' / titleDescriptor: 'Pa6.6 woven fabric for Police and Gendarme wear' / categorySourceGroup: 'Woven PA.6.6 fabrics for police uniforms, motorcyclists, bomb disposal suits and technical military applications.' || motorcycle: Descriptions: 'It is suitable for mobile motobikers police wear.' / technicalParameters: 'Application | Police Motobikers' / applicationImageLabels: 'Cordura Motorcyclist Cloth', 'Cordura Police Motorcyclist Cloth'";"medical";"true";"/ariteks/fabrics/ardura-500-c/data/fabric-complete-record.json"
"ardura-500-c-neo";"ArDura 500 C Neo";"ArDura";"ardura-2";"uniform-pa66";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis] | Wojsko i służby mundurowe [military] | Odzież motocyklowa [motorcycle]";"hivis:95 | military:90 | motorcycle:90";"hivis: titleDescriptor: 'Pa6.6 woven high visible fabric for Police and Gendarme wear' / norms: 'EN ISO 20471' / properties: 'hi-vis' || military: categorySourceGroup: 'Woven PA.6.6 fabrics for police uniforms, motorcyclists, bomb disposal suits and technical military applications.' / descriptions: 'ArDura 500 C Neo is lightweight high visible 100% polyamide 6.6 woven fabric for military, police and gendarme wear.' || motorcycle: descriptions: 'It is suitable for mobile motobikers police wear.' / technicalParameters: 'Application | Police Motobikers'";"medical";"true";"/ariteks/fabrics/ardura-500-c-neo/data/fabric-complete-record.json"
"ardura-500-c-rb";"ArDura 500 C Rb";"ArDura";"ardura-2";"uniform-pa66";"matched-with-review";"Wojsko i służby mundurowe [military] | Odzież motocyklowa [motorcycle]";"military:95 | motorcycle:90";"military: Category source group: Woven PA.6.6 fabrics for police uniforms, motorcyclists, bomb disposal suits and technical military applications. / ArDura 500 C Rb is lightweight 100% polyamide 6.6 ripstop woven fabric for military, police and gendarme wear. / Title descriptor: Pa6.6 woven ripstop fabric for Police and Gendarme wear || motorcycle: It is suitable for mobile motobikers police wear. / Technical parameter: Application | Police Motobikers";"medical";"true";"/ariteks/fabrics/ardura-500-c-rb/data/fabric-complete-record.json"
"ardura-500-kirik-dimi";"ArDura 500 Kirik Dimi";"ArDura";"ardura-2";"uniform-pa66";"matched";"Wojsko i służby mundurowe [military] | Odzież motocyklowa [motorcycle]";"military:95 | motorcycle:90";"military: 'ArDura 500 Kirik Dimi is lightweight 100% polyamide 6.6 cross twill woven fabric for military, police and gendarme wear.' / categorySourceGroup: 'Woven PA.6.6 fabrics for police uniforms, motorcyclists, bomb disposal suits and technical military applications.' / titleDescriptor: 'Pa6.6 woven cross twill fabric for Police and Gendarme wear' || motorcycle: 'It is suitable for mobile motobikers police wear.' / technicalParameters: 'Application | Police Motobikers'";"";"true";"/ariteks/fabrics/ardura-500-kirik-dimi/data/fabric-complete-record.json"
"ardura-500-fr";"ArDura 500 Fr";"ArDura";"ardura-2";"uniform-pa66";"matched-with-review";"Wojsko i służby mundurowe [military] | Odzież motocyklowa [motorcycle]";"military:92 | motorcycle:90";"military: ""for military, police and gendarme wear"" / categorySourceGroup: ""Woven PA.6.6 fabrics for police uniforms, motorcyclists, bomb disposal suits and technical military applications."" || motorcycle: ""It is suitable for mobile motobikers police wear."" / technicalParameters: ""Application | Police Motobikers""";"energy | firefighting | hivis | medical | welding";"true";"/ariteks/fabrics/ardura-500-fr/data/fabric-complete-record.json"
"ardura-1000-c";"ArDura 1000 C";"ArDura";"ardura-2";"uniform-pa66";"matched-with-review";"Wojsko i służby mundurowe [military]";"military:95";"military: titleDescriptor: Pa6.6 woven fabric for military equipment / descriptions: 'ArDura 1000 C is heavyweight 100% polyamide 6.6 woven fabric for military equipment.' / descriptions: 'The Pa6.6 high tenacity fibers gives for extra protection for military and police bags.' / technicalParameters: 'Application | Military Equipment' / categorySourceGroup: Woven PA.6.6 fabrics for police uniforms, motorcyclists, bomb disposal suits and technical military applications.";"hivis | medical | motorcycle";"true";"/ariteks/fabrics/ardura-1000-c/data/fabric-complete-record.json"
"ardura-1000-c-rb";"ArDura 1000 C Rb";"ArDura";"ardura-2";"uniform-pa66";"matched-with-review";"Wojsko i służby mundurowe [military]";"military:93";"military: categorySourceGroup: 'Woven PA.6.6 fabrics for police uniforms, motorcyclists, bomb disposal suits and technical military applications.' / titleDescriptor: 'Pa6.6 woven ripstop fabric for military equipment' / description: 'ArDura 1000 C Rb is heavyweight 100% polyamide 6.6 ripstop woven fabric for military equipment.' / technicalParameters: 'Application | Military Equipment'";"hivis | medical | motorcycle";"true";"/ariteks/fabrics/ardura-1000-c-rb/data/fabric-complete-record.json"
"ardura-1000-kirik-dimi";"ArDura 1000 Kirik Dimi";"ArDura";"ardura-2";"uniform-pa66";"matched-with-review";"Wojsko i służby mundurowe [military]";"military:95";"military: titleDescriptor: 'Pa6.6 woven cross twill fabric for military equipment' / descriptions: 'ArDura 1000 Kirik Dimi is heavyweight 100% polyamide 6.6 cross twill woven fabric for military equipment.' / descriptions: 'The Pa6.6 high tenacity fibers gives for extra protection for military and police bags.' / technicalParameters: 'Application | Military Equipment' / categorySourceGroup: 'Woven PA.6.6 fabrics for police uniforms, motorcyclists, bomb disposal suits and technical military applications.'";"hivis | medical | motorcycle";"true";"/ariteks/fabrics/ardura-1000-kirik-dimi/data/fabric-complete-record.json"
"ardura-1000-fr";"ArDura 1000 Fr";"ArDura";"ardura-2";"uniform-pa66";"matched-with-review";"Wojsko i służby mundurowe [military] | Odzież motocyklowa [motorcycle]";"military:95 | motorcycle:90";"military: Woven PA.6.6 fabrics for police uniforms, motorcyclists, bomb disposal suits and technical military applications. / ArDura 1000 Fr is heavyweight 95% polyamide 5% Polyurethane 6.6 woven fabric for military, police and gendarme wear. / Pa6.6 woven flame retardant coated fabric for Police and Gendarme wear || motorcycle: It is suitable for mobile motobikers police wear. / Application | Police Motobikers";"firefighting";"true";"/ariteks/fabrics/ardura-1000-fr/data/fabric-complete-record.json"
"argiyim-dura";"ArGiyim Dura";"ArGiyim";"argiyim-yp";"uniform-pa66";"matched-with-review";"Wojsko i służby mundurowe [military] | Odzież motocyklowa [motorcycle]";"military:95 | motorcycle:92";"military: categorySourceGroup: Woven PA.6.6 fabrics for police uniforms, motorcyclists, bomb disposal suits and technical military applications / descriptions: 'ArGiyim Dura is 50% polyamide 6.6 50% Cotton woven fabric for military, police and gendarme wear' / titleDescriptor: 'woven fabric for Police and Gendarme wear' || motorcycle: descriptions: 'It is suitable for mobile motobikers police wear' / technicalParameters: 'Application | Police Motobikers'";"hivis | medical";"true";"/ariteks/fabrics/argiyim-dura/data/fabric-complete-record.json"
"argiyim-knit-knife-pro";"ArGiyim Knit Knife Pro";"ArGiyim";"argiyim-knit";"cut-resistant";"matched-with-review";"Odzież motocyklowa [motorcycle]";"motorcycle:95";"motorcycle: 100% p-Aramid jersey knit fabric for motorcyclist linings. / Application | Motorcyclist lining";"military";"true";"/ariteks/fabrics/argiyim-knit-knife-pro/data/fabric-complete-record.json"
"argiyim-denim-kursun";"ArGiyim Denim Kursun";"ArGiyim";"argiyim-knit";"cut-resistant";"matched-with-review";"Odzież motocyklowa [motorcycle]";"motorcycle:97";"motorcycle: EN 17092 certified as motorcyclist norms. / Application | Motorcyclist Cloth / provides extra abraison resistance for motorcyclist's cloth";"military";"true";"/ariteks/fabrics/argiyim-denim-kursun/data/fabric-complete-record.json"
"ardura-500-cg";"ArDura 500 CG";"ArDura";"ardura-2";"cut-resistant";"matched";"Wojsko i służby mundurowe [military]";"military:97";"military: Pa6.6 woven fabric for Bomb Disposal Suits / ArDura 500 CG is 100% polyamide 6.6 woven fabric for bomb disposal suits, military, police and gendarme wear and nail proof pockets on workwear. / Application | Bomb Disposal Suits / EN 17092 (protective clothing standard referenced)";"";"true";"/ariteks/fabrics/ardura-500-cg/data/fabric-complete-record.json"
"arcadir-520";"ArCadır 520";"ArCad";"arcadir";"";"matched";"Wojsko i służby mundurowe [military]";"military:97";"military: It is used as military and disaster tent application. / Application | Miltary Tents / applicationImageLabels: Military Tent, Miltary Tent";"";"true";"/ariteks/fabrics/arcadir-520/data/fabric-complete-record.json"
"arflexmembrane";"ArFlexMembrane";"ArFlexMembrane";"arflexmembrane";"";"matched";"Tkaniny architektoniczne i budowlane [architecture-building]";"architecture-building:95";"architecture-building: familyDescriptorEn: 'PVC-free architectural membrane' / titleDescriptor: 'Tension Fabric Without PVC for Architectural Usage' / descriptions: 'It's used for lightweight outdoor roof systems.' / Application: Outdoor, non permanent structures / applicationImageLabels: 'Indoor Membrane Application 1/4/8'";"";"true";"/ariteks/fabrics/arflexmembrane/data/fabric-complete-record.json"
"arinter";"ArInter";"ArInter";"arinter";"";"matched-with-review";"Tkaniny architektoniczne i budowlane [architecture-building]";"architecture-building:95";"architecture-building: Tension fabric for interior decoration / Tension Fabric Stuctures for Inside Decoration / Application | Indoor Tension Fabric / 'ArInter can be used by designers and architects to decorate an environment' / Application image labels: Turkmenistan Airport, TRT Studio, Neomarin Shopping Center";"hivis | medical | transport";"true";"/ariteks/fabrics/arinter/data/fabric-complete-record.json"
"ardoku";"ArDoku";"ArDoku";"ardoku-ardolu";"laminates-3l";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:95";"hivis: properties: hi-vis / norms: EN ISO 20471 / technicalParameters: High Visible | Yes | EN 20471 / descriptions: ArDoku is certified for EN 343 and EN 20471";"energy | firefighting";"true";"/ariteks/fabrics/ardoku/data/fabric-complete-record.json"
"ardolu";"ArDolu";"ArDolu";"ardoku-ardolu";"laminates-3l";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:95";"hivis: properties: hi-vis / norms: EN ISO 20471 / High Visible | Yes | EN 20471 / applicationImageLabels: High visible orange rain jackets, High visible yellow rain jackets";"transport";"true";"/ariteks/fabrics/ardolu/data/fabric-complete-record.json"
"arseat";"ArSeat";"ArSeat";"arseat";"upholstery-knits";"matched-with-review";"Tkaniny dla transportu [transport]";"transport:93";"transport: Suitable for car upholstery and sport shoes. / Application | Car Upholstery, Shoes";"sport";"true";"/ariteks/fabrics/arseat/data/fabric-complete-record.json"
"arseat-eco";"ArSeat Eco";"ArSeat";"arseat";"upholstery-knits";"matched-with-review";"Tkaniny dla transportu [transport]";"transport:92";"transport: It is suitable for car upholstery and sport shoes. / Application | Car Upholstery, Shoes";"sport";"true";"/ariteks/fabrics/arseat-eco/data/fabric-complete-record.json"
"ardilight";"ArDiLight";"ArDiLight";"ardilight";"";"matched";"Tkaniny architektoniczne i budowlane [architecture-building]";"architecture-building:98";"architecture-building: familyDescriptorEn: Stretch-ceiling fabric for soft diffuse light / titleDescriptor: Stretch Ceiling PVC Fabric / technicalParameters: Application | Stretch Ceiling / applicationImageLabels: Stretch Ceiling 2, Stretch Ceiling 3, Stretch Ceiling 9";"";"true";"/ariteks/fabrics/ardilight/data/fabric-complete-record.json"
