"slug";"name";"family";"subFamily";"primaryApplication";"primaryConfidence";"secondaryApplication";"secondaryConfidence";"status";"primaryRationale";"secondaryRationale";"recordUrl"
"arof";"Arof";"Arof";"arof";"sport";"85";"";"0";"resolved-review";"The fabric is explicitly described as a track suit fabric primarily used for sports (runners), with the application field and image label both indicating Track Suit as the direct commercial use.";"";"/ariteks/fabrics/arof/data/fabric-complete-record.json"
"arsport";"ArSport";"ArSport";"arsport";"sport";"92";"";"0";"resolved";"The fabric is explicitly designed and marketed for team uniforms and sportswear, matching the sport application directly.";"";"/ariteks/fabrics/arsport/data/fabric-complete-record.json"
"arsport-x";"ArSport X";"ArSport";"arsport";"hivis";"90";"";"0";"resolved-review";"The fabric is explicitly certified to EN ISO 20471 for high-visibility use, which is the most concrete and directly stated end-use application.";"";"/ariteks/fabrics/arsport-x/data/fabric-complete-record.json"
"armoto-dura";"ArMoto Dura";"ArMoto";"armoto";"footwear-components";"80";"military";"75";"resolved";"The product is explicitly and repeatedly described as a fabric for shoes (laminated to base and edge of shoes), with the title descriptor and spec line naming it as a shoe fabric, making footwear the most direct and specific end use per rule 13.";"The military sector is explicitly and independently named as the intended market for these shoes, supporting military as a valid secondary application per rule 19.";"/ariteks/fabrics/armoto-dura/data/fabric-complete-record.json"
"arhard-mesh";"ArHard Mesh";"ArHard";"arhard-mesh";"military";"96";"";"0";"resolved-review";"The fabric is explicitly and repeatedly described as intended for military tactical vests, with dedicated application images and technical parameters confirming this as the dominant use.";"";"/ariteks/fabrics/arhard-mesh/data/fabric-complete-record.json"
"arhard-mesh-300";"ArHard Mesh 300";"ArHard";"arhard-mesh";"upholstery-interiors";"80";"";"0";"resolved-review";"The product is explicitly titled and described as an upholstery mesh fabric for office furniture/chairs, which is the clearest and most directly stated commercial end use.";"";"/ariteks/fabrics/arhard-mesh-300/data/fabric-complete-record.json"
"argiyim-360-denim";"ArGiyim 360 Denim";"ArGiyim";"argiyim-2";"workwear-industrial";"80";"";"0";"resolved";"The fabric is explicitly described as a denim workwear fabric intended for work pants/trousers, with durability suited for work conditions. No narrower named sector (military, firefighting, welding, etc.) is stated, so it falls under general workwear and industrial apparel.";"";"/ariteks/fabrics/argiyim-360-denim/data/fabric-complete-record.json"
"arof-mesh-2-2";"Arof Mesh 2*2";"Arof";"arof";"outdoor-functional";"55";"";"0";"resolved-review";"The fabric is explicitly described for use as parka interlining and raincoat back fabric, positioning it primarily as a functional apparel lining/mesh material for outdoor and weather-protective garments.";"";"/ariteks/fabrics/arof-mesh-2-2/data/fabric-complete-record.json"
"armoto";"ArMoto";"ArMoto";"armoto";"motorcycle";"88";"footwear-components";"80";"resolved";"The product family and description explicitly identify this fabric as designed for motorcyclist clothing (wind jacket air channel), making motorcycle apparel the dominant, most direct end use.";"A separate, explicitly stated end use in shoe manufacturing (lamination on base and edge of sport shoes) independently supports footwear-components as a secondary application.";"/ariteks/fabrics/armoto/data/fabric-complete-record.json"
"arsport-el";"ArSport El";"ArSport";"arsport2";"hivis";"85";"sport";"70";"resolved";"The fabric is explicitly certified to EN ISO 20471 and marked 'High Visible: Yes', which directly qualifies it as a certified high-visibility warning fabric, making this the most defensible primary application.";"The product is explicitly described as being for team uniforms and T-shirt application within the ArSport sports knit family, independently supporting a sport end use alongside its hi-vis certification.";"/ariteks/fabrics/arsport-el/data/fabric-complete-record.json"
"arsport-dry";"ArSport Dry";"ArSport";"arsport2";"sport";"75";"hivis";"80";"resolved-review";"The product is explicitly a sports knit designed for team uniforms, positioning sport as the dominant commercial application.";"Explicit certification to EN ISO 20471 for high visibility supports an independent secondary application, also reflected in the Police Uniform application field and image label.";"/ariteks/fabrics/arsport-dry/data/fabric-complete-record.json"
"argiyim-l";"ArGiyim L";"ArGiyim";"argiyim-2";"medical";"88";"";"0";"resolved";"The product description explicitly and directly states this fabric is most requested for elastic medical wear scrubs and pants, making medical the clear dominant end use.";"";"/ariteks/fabrics/argiyim-l/data/fabric-complete-record.json"
"arsport-wp-flame-pro";"ArSport Wp/Flame Pro";"ArSport";"arsport2";"firefighting";"96";"";"0";"resolved";"The product is explicitly described as a humidity barrier fabric for firefighter suits, intended for the inner layer of firefighting clothing, with relevant FR and waterproof certification supporting this direct application.";"";"/ariteks/fabrics/arsport-wp-flame-pro/data/fabric-complete-record.json"
"arwowear-t5-soft-el";"ArWoWear T5 Soft El";"ArWoWear";"arwowear-t0-soft";"workwear-industrial";"80";"";"0";"resolved";"The fabric is explicitly described as a coverall/workwear twill fabric with no narrower sector (military, medical, energy, etc.) stated, so it fits the general workwear-industrial category.";"";"/ariteks/fabrics/arwowear-t5-soft-el/data/fabric-complete-record.json"
"ariripstop";"AriRipstop";"AriRipstop";"argiyim-2";"outdoor-functional";"80";"";"0";"resolved-review";"The product is explicitly described as being used mostly for outdoor wear as pants, with the fabric category and family descriptor both centered on outdoor apparel use, making outdoor-functional the clearest primary application.";"";"/ariteks/fabrics/ariripstop/data/fabric-complete-record.json"
"ariripstop-el";"AriRipstop El";"AriRipstop";"argiyim-2";"outdoor-functional";"85";"";"0";"resolved-review";"The fabric is explicitly described as an outdoor wear fabric used for pants and stretchable raincoats, matching the outdoor and functional apparel category directly.";"";"/ariteks/fabrics/ariripstop-el/data/fabric-complete-record.json"
"ardura-1000";"ArDura 1000";"ArDura";"ardura-2";"military";"95";"";"0";"resolved";"Product is explicitly and repeatedly described as intended for military equipment and bags, making military the clear primary application.";"";"/ariteks/fabrics/ardura-1000/data/fabric-complete-record.json"
"ardura-500";"ArDura 500";"ArDura";"ardura";"military";"95";"";"0";"resolved";"Multiple explicit statements confirm military wear and equipment as the primary intended use, matching taxonomy criteria directly.";"";"/ariteks/fabrics/ardura-500/data/fabric-complete-record.json"
"ardura-500-c-rb";"ArDura 500 C Rb";"ArDura";"ardura-2";"military";"93";"motorcycle";"80";"resolved";"The product is explicitly described as intended for military, police and gendarme uniforms, making military/uniformed-services the dominant and most direct stated use.";"An explicit secondary use for police motorcyclist wear is independently stated in the description and technical parameters, distinct from the general military/police uniform use.";"/ariteks/fabrics/ardura-500-c-rb/data/fabric-complete-record.json"
"ardura-500-c";"ArDura 500 C";"ArDura";"ardura-2";"military";"90";"motorcycle";"85";"resolved";"Explicitly stated as intended for military, police and gendarme uniformed service wear, which is the dominant and most direct commercial use.";"Independently stated motorcyclist/police-motobiker application with dedicated application images, supporting a secondary use distinct from general military/police wear.";"/ariteks/fabrics/ardura-500-c/data/fabric-complete-record.json"
"ardura-500-c-neo";"ArDura 500 C Neo";"ArDura";"ardura-2";"military";"85";"hivis";"80";"resolved";"Product is explicitly framed for military, police and gendarme uniform use, making this the dominant and most direct commercial application.";"The fabric is explicitly certified as high-visibility per EN ISO 20471, an independently supported secondary use for warning garments.";"/ariteks/fabrics/ardura-500-c-neo/data/fabric-complete-record.json"
"ardura-500-kirik-dimi";"ArDura 500 Kirik Dimi";"ArDura";"ardura-2";"military";"95";"motorcycle";"80";"resolved";"The fabric is explicitly designed and marketed for military, police and gendarme uniform wear, making this the dominant, most direct application.";"The product explicitly states suitability for police motorbike riders, an independently stated end use distinct from general military/police uniform wear.";"/ariteks/fabrics/ardura-500-kirik-dimi/data/fabric-complete-record.json"
"ardura-1000-c";"ArDura 1000 C";"ArDura";"ardura-2";"military";"93";"";"0";"resolved";"Explicit and repeated statements identify military equipment as the direct, central intended use of this PA6.6 fabric.";"";"/ariteks/fabrics/ardura-1000-c/data/fabric-complete-record.json"
"ardura-500-fr";"ArDura 500 Fr";"ArDura";"ardura-2";"military";"85";"motorcycle";"75";"resolved";"The fabric is explicitly described as intended for military, police and gendarme uniformed-service wear, matching the category source group for uniformed services.";"An independent, explicit statement names motorcycle police (motobiker) wear as a specific application, supporting motorcycle as a valid secondary use.";"/ariteks/fabrics/ardura-500-fr/data/fabric-complete-record.json"
"ardura-1000-c-rb";"ArDura 1000 C Rb";"ArDura";"ardura-2";"military";"92";"";"0";"resolved";"The product data explicitly and repeatedly states military equipment as the intended application, making it the clearest and most direct end use.";"";"/ariteks/fabrics/ardura-1000-c-rb/data/fabric-complete-record.json"
"ardura-1000-fr";"ArDura 1000 Fr";"ArDura";"ardura-2";"military";"93";"motorcycle";"85";"resolved";"The product is explicitly and repeatedly described as intended for military, police and gendarme wear, which is the dominant and most direct stated end use.";"The technical parameters explicitly list 'Police Motobikers' as an application and the description states suitability for mobile motorcyclist police wear, an independently supported secondary use.";"/ariteks/fabrics/ardura-1000-fr/data/fabric-complete-record.json"
"argiyim-dura";"ArGiyim Dura";"ArGiyim";"argiyim-yp";"military";"90";"motorcycle";"80";"resolved";"Explicitly described for military, police and gendarme wear, making military/uniformed services the clearest dominant application.";"Explicit statement of use for police motorbike riders independently supports motorcycle apparel as a secondary application.";"/ariteks/fabrics/argiyim-dura/data/fabric-complete-record.json"
"ardura-1000-kirik-dimi";"ArDura 1000 Kirik Dimi";"ArDura";"ardura-2";"military";"93";"";"0";"resolved";"The product is repeatedly and explicitly described as intended for military equipment, with dedicated 'Application' field confirming this as the dominant, direct commercial use.";"";"/ariteks/fabrics/ardura-1000-kirik-dimi/data/fabric-complete-record.json"
"argiyim-denim-kursun";"ArGiyim Denim Kursun";"ArGiyim";"argiyim-knit";"motorcycle";"96";"";"0";"resolved";"The product explicitly states 'Motorcyclist Cloth' as its application and is certified to EN 17092, the motorcyclist protective clothing standard, making motorcycle apparel the clear, direct commercial use.";"";"/ariteks/fabrics/argiyim-denim-kursun/data/fabric-complete-record.json"
"argiyim-knit-knife-pro";"ArGiyim Knit Knife Pro";"ArGiyim";"argiyim-knit";"motorcycle";"90";"";"0";"resolved-review";"The fabric is explicitly stated to be used as a lining for motorcyclist apparel, making motorcycle the clearest and most direct end use.";"";"/ariteks/fabrics/argiyim-knit-knife-pro/data/fabric-complete-record.json"
"ardura-500-cg";"ArDura 500 CG";"ArDura";"ardura-2";"military";"97";"";"0";"resolved";"Explicitly stated as fabric for bomb disposal suits, military and police wear, directly matching the military/uniformed services application.";"";"/ariteks/fabrics/ardura-500-cg/data/fabric-complete-record.json"
"ardigiprint";"ArDigiPrint";"ArDigiPrint";"ardigiprint";"print-signage";"92";"";"0";"resolved";"The fabric is explicitly and solely intended for digital/sublimation printing, matching the print-signage application which covers digital-print fabrics.";"";"/ariteks/fabrics/ardigiprint/data/fabric-complete-record.json"
"arflexmembrane";"ArFlexMembrane";"ArFlexMembrane";"arflexmembrane";"architecture-building";"95";"";"0";"resolved";"Explicitly described as an architectural tension membrane for outdoor roof systems and non-permanent structures, directly matching architecture-building.";"";"/ariteks/fabrics/arflexmembrane/data/fabric-complete-record.json"
"argiyim-denim-kursun-ck";"ArGiyim Denim Kursun CK";"ArGiyim";"argiyim-knit";"workwear-industrial";"75";"";"0";"resolved-review";"The product is explicitly described as a fabric for sandblasting suits, a general industrial protective apparel use with no narrower named sector (like welding or firefighting) dominating, fitting workwear-industrial as the clearest direct application.";"";"/ariteks/fabrics/argiyim-denim-kursun-ck/data/fabric-complete-record.json"
"arcadir-520";"ArCadır 520";"ArCad";"arcadir";"military";"95";"";"0";"resolved-review";"The fabric is explicitly and repeatedly described as a military tent fabric, with dedicated application field and image labels confirming military tent use as the dominant end use.";"";"/ariteks/fabrics/arcadir-520/data/fabric-complete-record.json"
"ardolu";"ArDolu";"ArDolu";"ardoku-ardolu";"hivis";"92";"";"0";"resolved-review";"The fabric is explicitly certified to EN ISO 20471 and rated 'High Visible', with application images showing high-visibility rain jackets, making certified warning apparel the clear dominant end use.";"";"/ariteks/fabrics/ardolu/data/fabric-complete-record.json"
"ardoku";"ArDoku";"ArDoku";"ardoku-ardolu";"hivis";"90";"";"0";"resolved-review";"Explicit EN ISO 20471 certification and hi-vis property make certified high-visibility apparel the clearest and most direct end use.";"";"/ariteks/fabrics/ardoku/data/fabric-complete-record.json"
"aribez";"Ari Bez";"Ari";"aripam";"footwear-components";"90";"";"0";"resolved-review";"The product is explicitly and repeatedly described as a shoe lining fabric, with the technical parameters and category source group directly confirming footwear use as the dominant application.";"";"/ariteks/fabrics/aribez/data/fabric-complete-record.json"
"arinter";"ArInter";"ArInter";"arinter";"architecture-building";"95";"";"0";"resolved";"Explicitly marketed as a tension fabric structure for interior/architectural decoration, used in building projects like an airport and shopping center, matching architecture-building's tensile structure and interior textile system criteria.";"";"/ariteks/fabrics/arinter/data/fabric-complete-record.json"
"arastar";"ArAstar";"ArAstar";"arastar-arsotina";"footwear-components";"55";"";"0";"resolved-review";"The product is explicitly described as usable for shoe lining, which is the only concrete named application; other uses (general garment lining) are not tied to a specific sector in the taxonomy.";"";"/ariteks/fabrics/arastar/data/fabric-complete-record.json"
"aripike";"Ari Pike";"Ari";"aripam";"footwear-components";"85";"";"0";"resolved";"The product is explicitly described and specified as a lining fabric for shoes, matching the footwear-components category directly.";"";"/ariteks/fabrics/aripike/data/fabric-complete-record.json"
"aripenye";"Ari Penye";"Ari";"aripam";"footwear-components";"85";"";"0";"resolved";"The product is explicitly and repeatedly described as a shoe lining fabric, with the category itself named for shoe lining and a technical parameter stating 'Application | Lining for shoes'. This is the clearest, most direct commercial use.";"";"/ariteks/fabrics/aripenye/data/fabric-complete-record.json"
"arclean-250";"ArClean 250";"ArClean";"arclean";"professional-cleaning";"97";"";"0";"resolved";"The product is explicitly and consistently described as a microfiber cleaning cloth fabric intended for industrial cleaning applications, matching professional-cleaning directly.";"";"/ariteks/fabrics/arclean-250/data/fabric-complete-record.json"
"ar-air-mesh-aa-150";"ArAir Mesh AA 150";"ArAir";"arairmesh";"footwear-components";"72";"";"0";"resolved-review";"The fabric is explicitly stated as suitable for shoes (sport and military), and the technical application field lists 'Shoes' directly, making footwear the most specific and directly named end use among the multiple applications listed.";"";"/ariteks/fabrics/ar-air-mesh-aa-150/data/fabric-complete-record.json"
"argun-260";"ArGun 260";"ArGun";"argun";"transport";"55";"";"0";"resolved-review";"The fabric is explicitly described and image-labelled for marine and automotive applications, which directly matches the transport application definition (vehicle/vessel textiles).";"";"/ariteks/fabrics/argun-260/data/fabric-complete-record.json"
"arigabardin-77";"Ari Gabardin 7/7";"Ari";"aripam";"footwear-components";"80";"";"0";"resolved-review";"The product is explicitly categorized and specified as a shoe lining fabric, making footwear the clearest and most direct commercial end use per the category source group and technical parameters.";"";"/ariteks/fabrics/arigabardin-77/data/fabric-complete-record.json"
"arpo";"ArPo";"ArPo";"arpo";"outdoor-functional";"72";"";"0";"resolved-review";"The product is explicitly described as used for winter jackets, functioning as insulation or lining—clearly an outdoor/functional apparel use rather than a specific technical sector.It matches outdoor-functional's inclusion of jackets and weather-protective garments.";"";"/ariteks/fabrics/arpo/data/fabric-complete-record.json"
"arbayrak";"ArBayrak";"ArBayrak";"arbayrak";"print-signage";"75";"";"0";"resolved-review";"The fabric is explicitly a flag/signal fabric used to make a warning tripod object, matching the signage/warning-object category rather than a certified garment or vehicle upholstery use.";"";"/ariteks/fabrics/arbayrak/data/fabric-complete-record.json"
"arseat";"ArSeat";"ArSeat";"arseat";"transport";"85";"";"0";"resolved-review";"Explicit statement of car upholstery use directly supports transport as the primary application, and the category source group (upholstery knits for seats and footwear) reinforces automotive seating as a dominant use.";"";"/ariteks/fabrics/arseat/data/fabric-complete-record.json"
"arigabardin-245";"Ari Gabardin 245";"Ari";"aripam";"footwear-components";"78";"";"0";"resolved-review";"The product is explicitly categorized and described as a shoe lining fabric, with a direct 'Application: Lining for Shoes' technical parameter, making footwear-components the clearest and most specific dominant use.";"";"/ariteks/fabrics/arigabardin-245/data/fabric-complete-record.json"
"arsotina";"ArSotina";"ArSotina";"arastar-arsotina";"footwear-components";"55";"";"0";"resolved-review";"The product is explicitly described as usable for shoe lining, a direct footwear component use, though it is also a general garment lining fabric.";"";"/ariteks/fabrics/arsotina/data/fabric-complete-record.json"
"ardilight";"ArDiLight";"ArDiLight";"ardilight";"architecture-building";"98";"";"0";"resolved";"Product is explicitly and repeatedly described as a stretch-ceiling fabric/system intended for building interiors, matching the architecture-building application directly per rule 16.";"";"/ariteks/fabrics/ardilight/data/fabric-complete-record.json"
"ar-air-mesh-bb";"ArAir Mesh BB";"ArAir";"arairmesh";"footwear-components";"55";"";"0";"resolved-review";"The fabric is explicitly listed as suitable for shoes among its stated applications, and the family descriptor itself positions this as a spacer mesh 'for seating and footwear'. Footwear is a direct, named use and per taxonomy rule 13 footwear fabrics default to footwear-components unless another sector clearly dominates, which is not the case here given the many parallel, equally-weighted uses (upholstery, bag, medical, military, sport).";"";"/ariteks/fabrics/ar-air-mesh-bb/data/fabric-complete-record.json"
"arseat-eco";"ArSeat Eco";"ArSeat";"arseat";"transport";"88";"footwear-components";"70";"resolved";"Explicit statement of car upholstery use makes transport the dominant, most direct commercial application, aligned with category grouping for upholstery knits.";"Explicit shoe use is independently stated alongside car upholstery, supporting a genuine secondary footwear application.";"/ariteks/fabrics/arseat-eco/data/fabric-complete-record.json"
"ar-air-mesh-aa-250";"ArAir Mesh AA 250";"ArAir";"arairmesh";"footwear-components";"78";"";"0";"resolved-review";"The fabric is explicitly marketed and imaged as a 3D air mesh for shoes, with footwear listed as a core application alongside upholstery and bags, making footwear the most specific and directly evidenced use.";"";"/ariteks/fabrics/ar-air-mesh-aa-250/data/fabric-complete-record.json"
"arseat-touch";"ArSeat Touch";"ArSeat";"arseat";"upholstery-interiors";"62";"";"0";"resolved-review";"The product is explicitly described as an upholstery knit fabric with 'Application: Upholstery' stated directly. No vehicle, rail, marine or aircraft context is given, so it defaults to general upholstery/interiors rather than transport.";"";"/ariteks/fabrics/arseat-touch/data/fabric-complete-record.json"
"ar-air-mesh-bond";"ArAir Mesh Bond";"ArAir";"arairmesh";"upholstery-interiors";"60";"";"0";"resolved-review";"The fabric's most elaborated stated use is as an upholstery mesh for office furniture seating, aligning with non-vehicle interior furnishing use.";"";"/ariteks/fabrics/ar-air-mesh-bond/data/fabric-complete-record.json"
