"slug";"name";"primaryApplication";"primaryConfidence";"secondaryApplication";"secondaryConfidence";"reviewReason";"alternativesConsidered";"primaryEvidence";"secondaryEvidence";"recordUrl"
"arshirt-static-pro";"ArShirt Static Pro";"workwear-industrial";"62";"";"0";"Category metadata labels this as a hi-vis warp knit fabric for safety jackets, conflicting with the antistatic ESD workwear focus of the actual product description; human review recommended to confirm whether hi-vis should be a secondary or the category label is a data artifact.";"energy: Application image label 'Antisatic T-Shirt for Gas Stations' hints at energy-adjacent use, but taxonomy requires explicit electric-arc, high-voltage or EMI shielding context; antistatic property alone is explicitly excluded (rule 8). || hivis: Category source group mentions hi-vis warp knit for safety jackets, but no fluorescent color, EN ISO 20471 certification, or explicit high-visibility warning use is stated in the product descriptions or specs, only antistatic ESD certification. || welding: No explicit welding, foundry, or molten-metal splash use stated; only generic antistatic cotton/carbon composition.";"Antistatic ESD pique workwear knit fabric || Application | Antisatic ESD Shirt || EN 1149 / EN 61340 ESD certification || Suitable for antistatic ESD applications, certified for EN ISO 1149";"";"/ariteks/fabrics/arshirt-static-pro/data/fabric-complete-record.json"
"arshirt-moda-pro";"ArShirt Moda Pro";"hivis";"92";"";"0";"Description names three distinct hazard-based user groups (welders, electrical workers, firefighters) with overlapping FR/arc/antistatic certifications, making the single secondary application choice somewhat ambiguous.";"welding: Welders are named as users but no molten-metal splash or foundry-specific evidence is given beyond generic FR/arc protection shared with electrical work; energy sector evidence is more specific via EN 61482 arc-flash class. || firefighting: Firefighters are mentioned as users but the product lacks EN 469 turnout gear certification or structural firefighting framing typical of dedicated firefighting fabrics. || military: No military, police or tactical use stated. || workwear-industrial: A more specific named sector (hivis) dominates the product positioning.";"categoryId: hi-vis || EN ISO 20471 certified || High Visibility | Done | EN ISO 20471 || categorySourceGroup: High Visible Warp Knit Fabrics for Safety Jackets";"";"/ariteks/fabrics/arshirt-moda-pro/data/fabric-complete-record.json"
"arsuprem";"ArSuprem";"workwear-industrial";"55";"";"0";"Category placement (hi-vis warp knit for safety jackets) conflicts with the product's own description as a workwear T-shirt fabric with no fluorescent/reflective properties stated, creating ambiguity between hivis and workwear-industrial as primary.";"hivis: Category source group references hi-vis warp knit for safety jackets, but the product itself is a plain vat-dyed cotton jersey with no fluorescent color, EN ISO 20471 or reflective element stated; application image label is 'High Fastness T-Shirt', suggesting it's a base-layer/T-shirt fabric rather than a certified hi-vis garment fabric. || sport: UV protection and jersey knit are present but no explicit sport or athletic use is stated.";"Application | Workwear || Vat dyed ArSuprem products can be used in the most hard working conditions || 100% cotton single jersey workwear knit fabric";"";"/ariteks/fabrics/arsuprem/data/fabric-complete-record.json"
"arsuprem-static-pro";"ArSuprem Static Pro";"workwear-industrial";"62";"";"0";"Category metadata (hi-vis warp knit safety jacket group) conflicts with the product's actual jersey knit structure and ESD-focused description, creating ambiguity about whether hi-vis certification is truly intended; human review recommended to confirm correct primary classification.";"hivis: Category and source group labels reference hi-vis warp knit safety jackets, but the actual structure is a jersey knit and no certified high-visibility standard (e.g., EN ISO 20471) or fluorescent colour is stated; evidence instead centers on ESD/antistatic use, so hivis is not clearly supported as the dominant use. || energy: Antistatic and ESD certification (EN 1149, EN 61340) alone do not establish an explicit electrical-utility or high-voltage application per rule 8/exclusion guidance. || medical: No explicit medical or healthcare use stated; antistatic property alone is insufficient.";"Application | Antisatic ESD Shirt || Suitable for antistatic ESD application, certified for EN ISO 1149 || norms: EN 1149, EN 61340, OEKO-TEX 100 || familyDescriptorEn: Antistatic workwear";"";"/ariteks/fabrics/arsuprem-static-pro/data/fabric-complete-record.json"
"arsuprem-moda-pro";"ArSuprem Moda Pro";"hivis";"92";"welding";"75";"The description lists three distinct professional user groups (welders, electrical workers, firefighters) making the secondary application choice ambiguous; welding was selected but energy or firefighting are also defensible secondary candidates.";"energy: Electrical workers and antistatic/arc-flash properties are mentioned, but this overlaps heavily with the welding evidence and only one secondary can be selected; welding is named first and more specific to the metal-processing hazard context. || firefighting: Firefighters are mentioned as users, but this appears alongside welders and electrical workers as a general list rather than a dominant firefighting-specific product framing; flame retardancy alone is insufficient per rule 9.";"categoryId: hi-vis || categorySourceGroup: High Visible Warp Knit Fabrics for Safety Jackets || EN ISO 20471 certified || High Visibility | Done | EN ISO 20471";"ArSuprem Moda Pro fabric are mostly used by welders, electrical workers and firefighters. || EN 61482 arc flash protection class 1 (4 kA) || ATPV > 7 cal/cm²";"/ariteks/fabrics/arsuprem-moda-pro/data/fabric-complete-record.json"
"arbir-su-itici";"ArBir Su İtici";"hivis";"93";"";"0";"Secondary candidate did not pass confidence threshold 70.";"workwear-industrial: Chemical resistance (EN 13034) suggests protective workwear, but the fabric's dominant stated use is hi-vis jackets/raincoats, not general industrial workwear. || military: No explicit military or police use stated. || transport: No explicit vehicle or transport-sector use stated.";"EN ISO 20471 certified || Application image labels: Orange Safety Jacket EN 20471, Yellow Safety Jacket EN 20471 || properties: hi-vis || High Visibility | Done | EN ISO 20471";"";"/ariteks/fabrics/arbir-su-itici/data/fabric-complete-record.json"
"arbir-su-itici-su-gecirmez";"ArBir Su İtici/Su Geçirmez";"hivis";"90";"";"0";"Secondary candidate did not pass confidence threshold 70.";"workwear-industrial: Chemical resistance (EN 13034) suggests industrial protective use, but no explicit general workwear framing dominates over the more specific hi-vis and raincoat uses. || transport: No explicit vehicle or vessel use stated; waterproof outerwear alone does not imply transport. || energy: No explicit electrical/utility sector use stated; only generic chemical resistance property present.";"EN ISO 20471 certified || Property: hi-vis || applicationImageLabels: Orange Safety Jacket EN 20471 || High Visibility | Done | EN ISO 20471";"";"/ariteks/fabrics/arbir-su-itici-su-gecirmez/data/fabric-complete-record.json"
"arbir-200";"ArBir 200";"hivis";"96";"";"0";"Secondary candidate did not pass confidence threshold 70.";"welding: EN 13034 chemical protection present but no explicit welding or metallurgy use stated. || transport: No explicit vehicle or transport-worker use stated beyond generic safety clothing. || workwear-industrial: Product is specifically positioned as certified hi-vis safety clothing rather than generic industrial workwear.";"EN ISO 20471 certified. || High Visibility | Done | EN ISO 20471 || specLine: High Visible, Woven Like Knit Fabric || Neon dyed fabrics...they shine more than other objects || Application | Raincoat, Jacket, Parka";"";"/ariteks/fabrics/arbir-200/data/fabric-complete-record.json"
"arwowear-t20-static-pro";"ArWoWear T20 Static Pro Pro";"workwear-industrial";"70";"";"0";"Primary application retained, but confidence 70 is below review threshold 80.";"welding: No explicit welding, foundry or metal-splash use stated; only antistatic/FR-adjacent properties are present. || hivis: No fluorescent color or EN ISO 20471 certification stated. || medical: No medical or healthcare use mentioned.";"Application | Coveralls || Antistatic workwear fabric || 260 g/m², 79% Cotton 20% Polyester 1% Carbon, Antistatic, 3/1S Twill Fabric";"";"/ariteks/fabrics/arwowear-t20-static-pro/data/fabric-complete-record.json"
"arwowear-t11-static-pro";"ArWoWear T11 Static Pro";"workwear-industrial";"65";"";"0";"Primary application retained, but confidence 65 is below review threshold 80.";"welding: No explicit welding, foundry or molten metal use stated; only antistatic FR-adjacent properties are mentioned. || transport: No vehicle, rail or transport-specific use is stated in the source.";"Application | Coveralls || categorySourceGroup: Antistatic Twill Workwear Fabrics || suitable to use on electronic industry where static electric formation is a problem";"";"/ariteks/fabrics/arwowear-t11-static-pro/data/fabric-complete-record.json"
"arwowear-t2-static-pro";"ArWoWear T2 Static Pro";"workwear-industrial";"72";"";"0";"Primary application retained, but confidence 72 is below review threshold 80.";"welding: No explicit welding, foundry or metal-splash use stated; only antistatic/electronics and oil & gas contexts are mentioned. || hivis: No certified high-visibility warning garment claim; product is a base antistatic twill, not a fluorescent/reflective safety garment.";"Application | Coveralls || ArWoWear T2 Static Pro is 245 g/m², 99% cotton 1% carbon workwear antistatic twill fabric. || categorySourceGroup: Antistatic Twill Workwear Fabrics";"";"/ariteks/fabrics/arwowear-t2-static-pro/data/fabric-complete-record.json"
"arwowear-t4-static-pro";"ArWoWear T4 Static Pro";"workwear-industrial";"65";"";"0";"Primary application retained, but confidence 65 is below review threshold 80.";"welding: No explicit welding, foundry or metal-splash use is stated; only antistatic property applies. || medical: No medical or healthcare use is mentioned; electronic industry reference does not equate to medical.";"Application | Coveralls || durable workwear antistatic twill fabric || Antistatic Twill Workwear Fabrics category";"";"/ariteks/fabrics/arwowear-t4-static-pro/data/fabric-complete-record.json"
"arwowear-t21-static-pro";"ArWoWear T21 Static Pro Pro";"workwear-industrial";"62";"";"0";"Ambiguity between workwear-industrial and energy sector classification since the fabric's primary application field says 'Coveralls' (generic workwear) but description explicitly cites oil-and-gas and electronic-industry static-explosion prevention, which could be interpreted as either sector depending on taxonomy strictness.";"welding: No explicit welding, foundry or metal-splash use stated; only generic antistatic workwear context. || military: No explicit military, police or uniformed-service application stated.";"Application | Coveralls || Oil and gas industry platform workers can also use it to prevent static electric related explosions on dangerous area. || Heavy weight 330 g/m² antistatic workwear fabric";"";"/ariteks/fabrics/arwowear-t21-static-pro/data/fabric-complete-record.json"
"arwowear-t1-flame-pro";"ArWoWear T1 Flame Pro";"workwear-industrial";"72";"";"0";"Primary application retained, but confidence 72 is below review threshold 80.";"firefighting: Only generic FR certification and lining use; no explicit firefighter/turnout gear statement. || welding: No explicit welding, foundry or metal-splash use stated. || military: No explicit military/police/tactical use stated.";"Application | Flame Retardant Coveralls || categorySourceGroup: Flame Retardant, Vat Dyed, Workwear Fabrics Resistant up to 100 Wash || It is mostly used as flame retardant lining. || EN ISO 11612 certification";"";"/ariteks/fabrics/arwowear-t1-flame-pro/data/fabric-complete-record.json"
"arwowear-t2-flame-pro";"ArWoWear T2 Flame Pro";"welding";"85";"";"0";"Secondary candidate did not pass confidence threshold 70.";"workwear-industrial: General FR workwear framing exists but narrower welding and energy hazard certifications dominate the product's clearest stated use. || firefighting: EN ISO 11612 flame/heat protection is present but this is general industrial FR standard, not explicit firefighter turnout gear wording. || military: No explicit military, police, or uniformed-service wording present.";"Welding Protection | Yes | EN ISO 11611 || norms include EN ISO 11611 || properties include molten-metal || Application | Flame Retardant Coveralls";"";"/ariteks/fabrics/arwowear-t2-flame-pro/data/fabric-complete-record.json"
"arwowear-t13-flame-pro";"ArWoWear T13 Flame Pro";"welding";"92";"";"0";"Secondary candidate did not pass confidence threshold 70.";"energy: Arc protection (EN 61482, ATPV) is present but no explicit statement of electrical utility or energy-sector use, only a property-level certification. || transport: Mention of shipyard context relates to welding occupation, not vehicle/vessel transport use. || firefighting: No explicit firefighting or turnout gear reference despite FR properties.";"EN ISO 11611 certification (Welding Protection: Yes) || molten-metal property || Suitable for shipyard welders in cold climates || Application | Flame Retardant Coveralls";"";"/ariteks/fabrics/arwowear-t13-flame-pro/data/fabric-complete-record.json"
"arwowear-t20-flame-pro";"ArWoWear T20 Flame Pro";"welding";"85";"";"0";"Secondary candidate did not pass confidence threshold 70.";"energy: Electric-arc protection (EN 61482) is present but is a property/hazard rating rather than an explicit statement of electrical utility/high-voltage sector use. || firefighting: EN ISO 11612 is generic flame/heat protection certification, not explicit firefighter turnout gear use.";"Welding Protection | Yes | EN ISO 11611 || norms include EN ISO 11611 || properties include molten-metal || Arc Protection | Class 1 (4kA) | EN ISO 61482-1-2";"";"/ariteks/fabrics/arwowear-t20-flame-pro/data/fabric-complete-record.json"
"arwowear-t12-flame-pro";"ArWoWear T12 Flame Pro";"welding";"95";"";"0";"Secondary candidate did not pass confidence threshold 70.";"firefighting: EN ISO 11612 flame/heat certification present but no explicit firefighting or turnout gear use stated. || energy: Arc protection (EN 61482) and ATPV rating present, but no explicit electrical utility or high-voltage sector use stated; arc-flash rating alone insufficient. || transport: Shipyard reference relates to welder work location, not vessel/vehicle transport use of the fabric.";"Welding Protection | Yes | EN ISO 11611 || Suitable for shipyard welders in cold climates. || molten-metal property listed || Application | Flame Retardant Coveralls";"";"/ariteks/fabrics/arwowear-t12-flame-pro/data/fabric-complete-record.json"
"arwowear-t21-flame-pro";"ArWoWear T21 Flame Pro";"welding";"88";"";"0";"Secondary candidate did not pass confidence threshold 70.";"firefighting: Certified to EN ISO 11612 for flame/heat protection, but no explicit statement of firefighter or turnout-gear use; this is a generic FR workwear standard, not sufficient alone per rule 9. || workwear-industrial: While the fabric is general FR workwear, the explicit welding and arc-flash certifications point to a more specific named sector, making welding the more direct primary application. || military: No explicit military, police or uniformed-service use is stated in the product data.";"Welding Protection | Yes | EN ISO 11611 || Application | Flame Retardant Coveralls || properties: molten-metal || norms: EN ISO 11611";"";"/ariteks/fabrics/arwowear-t21-flame-pro/data/fabric-complete-record.json"
"arwowear-t11-flame-pro";"ArWoWear T11 Flame Pro";"workwear-industrial";"62";"welding";"70";"Product carries three overlapping protective certifications (welding, arc, general FR) without a single dominant explicit end-use statement, making the primary/secondary split between workwear-industrial, welding and energy somewhat ambiguous.";"energy: EN 61482 arc rating is present but no explicit statement of electrical utility or high-voltage work context beyond the certification itself, making it weaker than the explicit welding statement. || firefighting: EN ISO 11612 is a general heat/flame protection standard, not the firefighter-specific EN 469, and no firefighting use is explicitly stated. || military: No explicit military, police or uniformed-service reference in the product data.";"Application | Flame Retardant Coveralls || Flame retardant, vat dyed, workwear fabrics resistant up to 100 wash || categorySourceGroup: Flame Retardant, Vat Dyed, Workwear Fabrics";"Welding Protection | Yes | EN ISO 11611 || molten-metal property listed || EN ISO 11611 certification icon";"/ariteks/fabrics/arwowear-t11-flame-pro/data/fabric-complete-record.json"
"arwowear-t30-flame-pro";"ArWoWear T30 Flame Pro";"welding";"85";"";"0";"Secondary candidate did not pass confidence threshold 70.";"energy: Arc protection (EN 61482) is present but no explicit electrical utility or energy-sector use stated; arc protection here is tied to welding hazard, not electrical work. || firefighting: EN ISO 11612 covers general flame/heat protection, not specifically firefighter turnout gear; no firefighting-specific claim.";"Welding Protection | Yes | EN ISO 11611 || norms include EN ISO 11611 || properties include molten-metal || Arc Protection | Class 1 (4kA) | EN ISO 61482-1-2";"";"/ariteks/fabrics/arwowear-t30-flame-pro/data/fabric-complete-record.json"
"arwowear-t1-flame-arc-pro";"ArWoWear T1 Flame Arc Pro";"workwear-industrial";"72";"";"0";"Primary application retained, but confidence 72 is below review threshold 80.";"energy: Antistatic (EN 1149-5) property alone does not establish explicit energy-sector use per rule 8 and application exclude notes. || welding: FR property alone does not establish welding/metallurgy use; no explicit mention of welding or foundry. || firefighting: EN ISO 11612 is a heat/flame protection standard but not specific to firefighter turnout gear; no explicit firefighting context.";"Application | Flame Retardant Shirt || categoryNameEn: FR antistatic workwear || Flame retardant, antistatic workwear fabric with EN ISO 11612 and EN 1149-5 certification";"";"/ariteks/fabrics/arwowear-t1-flame-arc-pro/data/fabric-complete-record.json"
"arwowear-t0-flame-arc-pro";"ArWoWear T0 Flame Arc Pro";"workwear-industrial";"72";"";"0";"Primary application retained, but confidence 72 is below review threshold 80.";"energy: Antistatic/EN1149 property present but no explicit electrical utility or high-voltage use stated. || welding: FR cotton could suit metalworking but no explicit welding/foundry use stated. || firefighting: FR certification alone does not indicate firefighter turnout gear; no explicit firefighting use.";"categorySourceGroup: Flame Retardant, Antistatic, Vat Dyed, Workwear Fabrics Resistant up to 100 Wash || Application | Flame Retardant Shirt || EN ISO 11612, EN ISO 14116, EN 1149 certifications for FR/antistatic protective clothing";"";"/ariteks/fabrics/arwowear-t0-flame-arc-pro/data/fabric-complete-record.json"
"arwowear-t11-flame-arc-pro";"ArWoWear T11 Flame Arc Pro";"energy";"80";"welding";"75";"Both EN ISO 11611 (welding) and EN 61482 (energy/arc) are explicitly and strongly certified, making the choice between primary and secondary somewhat ambiguous.";"firefighting: EN ISO 11612 flame/heat protection is present but no explicit firefighter or turnout-gear use is stated. || military: No explicit military or uniformed-service application stated despite protective workwear nature. || workwear-industrial: More specific named sectors (energy, welding) are explicitly supported, making generic workwear classification less precise.";"Protection against thermal hazards of electrical arc. (EN 61482-1-2) || Arc Protection | Class 1 (4kA) | EN ISO 61482-1-2 || ATPV > 15 cal/cm² || Product name 'Flame Arc Pro' emphasizes arc protection";"Welding Protection | Yes | EN ISO 11611 || EN ISO 11611 certification";"/ariteks/fabrics/arwowear-t11-flame-arc-pro/data/fabric-complete-record.json"
"aramid-d0-150";"Aramid D0 150";"military";"72";"";"0";"Multiple explicit end uses (military, firefighting, oil & gas/energy) are stated with roughly comparable prominence, so the choice of primary vs secondary involves some judgment.";"energy: Oil and gas workers are mentioned but this is a generic industrial worker reference without dedicated electrical/energy-sector framing beyond antistatic property, which alone is insufficient per rules. || welding: EN ISO 11611 welding standard is listed but no explicit welding, foundry or metal-splash use is stated in the descriptions; only the certification appears. || workwear-industrial: A more specific and directly named sector (military pilot costumes, firefighters) dominates over generic industrial workwear framing.";"for firefighters, military pilot costumes, oil and gas industry workers. || Application | Pilot Costumes || Aramid Flight Suit (application image label)";"";"/ariteks/fabrics/aramid-d0-150/data/fabric-complete-record.json"
"aramid-d3-200";"Aramid D3 200";"firefighting";"95";"";"0";"Secondary candidate did not pass confidence threshold 70.";"energy: Antistatic and arc protection properties exist but no explicit statement ties the fabric to electrical utility or energy sector use. || welding: No explicit mention of welding, foundry or molten metal splash use despite FR and heat protection properties. || military: No explicit military, police or tactical application stated.";"technicalParameters: 'Application | Firefighters Costumes' || norms include EN 469 || applicationImageLabels: 'Aramid Firefighter Turnout Gear' || technicalParameters: 'Firefighters | Yes | EN ISO 469'";"";"/ariteks/fabrics/aramid-d3-200/data/fabric-complete-record.json"
"aramid-d1-210";"Aramid D1 210";"firefighting";"72";"";"0";"Fabric has multiple strongly certified end uses (firefighting, welding, energy/arc) and only one secondary application can be recorded, so human review is advisable to confirm the most commercially dominant pairing.";"energy: Arc-flash certification (EN 61482) and an 'Arc Suit for Electrical Distribution' image label support energy sector use, but this is secondary to the more directly named firefighting and welding applications; only one secondary slot is allowed. || workwear-industrial: Oil and gas coverall mention suggests general industrial workwear, but narrower named sectors (firefighting, welding) dominate the explicit evidence. || military: No explicit military, police or tactical use stated anywhere in the source data.";"Application | Firefighters Costumes || for wildland firefighters, oil and gas industry workers. || Forest Firefighters | Yes | EN ISO 15614 || Inherent flame retardant fabric with EN ISO 11612 and EN ISO 11611 certification.";"";"/ariteks/fabrics/aramid-d1-210/data/fabric-complete-record.json"
"arox-t1-static-pro";"Arox T1 Static Pro";"workwear-industrial";"72";"";"0";"Primary application retained, but confidence 72 is below review threshold 80.";"energy: Antistatic property alone does not establish energy-sector use per rule 8; no explicit electrical utility or high-voltage context stated. || medical: Cleanroom mention is generic and not explicitly tied to healthcare/medical use.";"Antistatic ESD workwear twill fabric || Mostly used for clean room's cloths || Suitable for antistatic ESD application like electronic industry || EN 1149 || Category source group: Polyester Woven Fabrics for Raincoats, Jackets and Coveralls";"";"/ariteks/fabrics/arox-t1-static-pro/data/fabric-complete-record.json"
"arox-t2-static-pro";"Arox T2 Static Pro";"workwear-industrial";"68";"";"0";"Primary application retained, but confidence 68 is below review threshold 80.";"energy: Antistatic ESD property alone does not establish energy-sector use per rule 8; no electrical utility or high-voltage context stated. || medical: Cleanroom mention is generic, not explicitly healthcare/hospital use.";"99% polyester 1% carbon, antistatic ESD workwear twill fabric. || Suitable for antistatic ESD application like electronic industry, certified for EN ISO 1149-5. || categorySourceGroup: Polyester Woven Fabrics for Raincoats, Jackets and Coveralls";"";"/ariteks/fabrics/arox-t2-static-pro/data/fabric-complete-record.json"
"arox-t4-wr-wp";"Arox T4 WR/WP";"hivis";"93";"";"0";"Secondary candidate did not pass confidence threshold 70.";"energy: Antistatic property and EN 1149 present but no explicit electrical/utility use stated. || welding: Chemical resistance and EN 13034 mentioned but no explicit welding/foundry/metal-processing use. || workwear-industrial: General workwear use is superseded by the more specific hi-vis and outdoor apparel applications explicitly stated.";"properties: hi-vis || norms: EN ISO 20471 || applicationImageLabels: Safety Jacket EN 20471 || Application | Hi Vis Raincoats";"";"/ariteks/fabrics/arox-t4-wr-wp/data/fabric-complete-record.json"
"arox-t5-multi";"Arox T5 Multi";"hivis";"93";"";"0";"Secondary candidate did not pass confidence threshold 70.";"outdoor-functional: Jackets, trousers and bodywarmers are mentioned, but the certified safety/hi-vis use is more dominant and specific than generic outdoor apparel. || firefighting: EN ISO 14116 flame retardant certification present but no explicit firefighter or turnout gear statement. || energy: EN 1149 antistatic certification present but no explicit electrical utility or high-voltage use stated. || welding: Inherent FR and chemical resistance present but no explicit welding or metal-splash use stated.";"properties: hi-vis || norms: EN ISO 20471 || applicationImageLabels: 'FR, waterproof, Safety Jacket EN 20471' || Application | Hi Vis Raincoats";"";"/ariteks/fabrics/arox-t5-multi/data/fabric-complete-record.json"
"argiyim-290";"ArGiyim 290";"hivis";"96";"";"0";"Secondary candidate did not pass confidence threshold 70.";"welding: Chemical resistance and EN 13034 relate to chemical protection, not explicit welding, foundry or metal-processing use. || military: No explicit military, police or tactical use stated in the product data. || energy: EMI property present but no explicit electrical/high-voltage utility use stated; EN 1149/EMI alone insufficient.";"EN ISO 20471 certification || High Visibility | Done | EN ISO 20471 || used for heavy outdoor jackets, safety jackets, pans and trousers || High Visible Water Repellent Satin Fabric";"";"/ariteks/fabrics/argiyim-290/data/fabric-complete-record.json"
"argiyim-245";"ArGiyim 245";"hivis";"95";"";"0";"Secondary candidate did not pass confidence threshold 70.";"energy: Antistatic and EMI properties present but no explicit electrical/high-voltage utility use stated. || welding: Chemical resistance and FR properties present but no explicit welding or metallurgy use stated. || outdoor-functional: Outdoor jackets mentioned but the certified hi-vis safety use is more dominant and specific.";"Property: hi-vis || Norms: EN ISO 20471 || descriptions: 'Certified for EN ISO 20471 and for EN 13034' || titleDescriptor: High Visible Water Repellent Twill Fabric || applicationImageLabels: Polycotton pan, Polycotton jacket";"";"/ariteks/fabrics/argiyim-245/data/fabric-complete-record.json"
"argiyim-245-static-pro";"ArGiyim 245 Static Pro";"hivis";"90";"";"0";"Secondary candidate did not pass confidence threshold 70.";"energy: Antistatic and EMI properties present but no explicit statement of electrical utility or high-voltage work use, per exclusion rule. || medical: Clean room mention suggests industrial cleanroom use, not explicit medical/healthcare context.";"norms includes EN ISO 20471 || functionIconLabels: EN 20471 || technicalParameters: High Visibility | Done | EN ISO 20471 || technicalParameters: Application | Hi Vis Antistatic Pans || applicationImageLabels: Polycotton antistatic jacket, Polycotton antistatic suit";"";"/ariteks/fabrics/argiyim-245-static-pro/data/fabric-complete-record.json"
